#MCS	ActivatedTCell_Wall_contact_area	Total_cell_Wall_contact_area
28800	880.0	880.0
28900	864.0	864.0
29000	856.0	856.0
29100	859.0	859.0
29200	857.0	857.0
29300	860.0	860.0
29400	872.0	872.0
29500	870.0	870.0
29600	895.0	895.0
29700	892.0	892.0
29800	899.0	899.0
29900	892.0	892.0
30000	893.0	893.0
30100	890.0	890.0
30200	903.0	903.0
30300	888.0	888.0
30400	900.0	900.0
30500	895.0	895.0
30600	904.0	904.0
30700	916.0	916.0
30800	916.0	916.0
30900	908.0	908.0
31000	916.0	916.0
31100	910.0	910.0
31200	908.0	908.0
31300	911.0	911.0
31400	916.0	916.0
31500	919.0	919.0
31600	915.0	915.0
31700	907.0	907.0
31800	925.0	925.0
31900	928.0	928.0
32000	928.0	928.0
32100	929.0	929.0
32200	935.0	935.0
32300	924.0	924.0
32400	920.0	920.0
32500	927.0	927.0
32600	938.0	938.0
32700	945.0	945.0
32800	945.0	945.0
32900	957.0	957.0
33000	972.0	972.0
33100	966.0	966.0
33200	969.0	969.0
33300	969.0	969.0
33400	970.0	970.0
33500	976.0	976.0
33600	971.0	971.0
33700	986.0	986.0
33800	993.0	993.0
33900	991.0	991.0
34000	1007.0	1007.0
34100	999.0	999.0
34200	1000.0	1000.0
34300	1008.0	1008.0
34400	1020.0	1020.0
34500	1005.0	1005.0
34600	1005.0	1005.0
34700	1020.0	1020.0
34800	1017.0	1017.0
34900	1016.0	1016.0
35000	1018.0	1018.0
35100	1005.0	1005.0
35200	1008.0	1008.0
35300	1000.0	1000.0
35400	1004.0	1004.0
35500	1019.0	1019.0
35600	1012.0	1012.0
35700	1003.0	1003.0
35800	1023.0	1023.0
35900	1011.0	1011.0
36000	1011.0	1011.0
36100	1022.0	1022.0
36200	1012.0	1012.0
36300	1015.0	1015.0
36400	1005.0	1005.0
36500	1019.0	1019.0
36600	1000.0	1000.0
36700	1015.0	1015.0
36800	1011.0	1011.0
36900	1034.0	1034.0
37000	1029.0	1029.0
37100	1036.0	1036.0
37200	1037.0	1037.0
37300	1035.0	1035.0
37400	1035.0	1035.0
37500	1041.0	1041.0
37600	1041.0	1041.0
37700	1034.0	1034.0
37800	1042.0	1042.0
37900	1042.0	1042.0
38000	1044.0	1044.0
38100	1049.0	1049.0
38200	1062.0	1062.0
38300	1048.0	1048.0
38400	1085.0	1085.0
38500	1077.0	1077.0
38600	1094.0	1094.0
38700	1084.0	1084.0
38800	1079.0	1079.0
38900	1076.0	1076.0
39000	1083.0	1083.0
39100	1082.0	1082.0
39200	1083.0	1083.0
39300	1096.0	1096.0
39400	1104.0	1104.0
39500	1114.0	1114.0
39600	1107.0	1107.0
39700	1103.0	1103.0
39800	1098.0	1098.0
39900	1086.0	1086.0
40000	1101.0	1101.0
40100	1124.0	1124.0
40200	1112.0	1112.0
40300	1118.0	1118.0
40400	1132.0	1132.0
40500	1150.0	1150.0
40600	1132.0	1132.0
40700	1153.0	1153.0
40800	1161.0	1161.0
40900	1154.0	1154.0
41000	1156.0	1156.0
41100	1160.0	1160.0
41200	1167.0	1167.0
41300	1147.0	1147.0
41400	1143.0	1143.0
41500	1158.0	1158.0
41600	1152.0	1152.0
41700	1155.0	1155.0
41800	1166.0	1166.0
41900	1164.0	1164.0
42000	1156.0	1156.0
42100	1157.0	1157.0
42200	1165.0	1165.0
42300	1179.0	1179.0
42400	1158.0	1158.0
42500	1164.0	1164.0
42600	1163.0	1163.0
42700	1157.0	1157.0
42800	1169.0	1169.0
42900	1194.0	1194.0
43000	1188.0	1188.0
43100	1179.0	1179.0
43200	1195.0	1195.0
43300	1180.0	1180.0
43400	1171.0	1171.0
43500	1178.0	1178.0
43600	1173.0	1173.0
43700	1185.0	1185.0
43800	1155.0	1155.0
43900	1179.0	1179.0
44000	1202.0	1202.0
44100	1213.0	1213.0
44200	1205.0	1205.0
44300	1209.0	1209.0
44400	1201.0	1201.0
44500	1197.0	1197.0
44600	1218.0	1218.0
