#MCS	Volume_energy
0	7777.587241100513
100	23686.485892999444
200	22301.73357632215
300	22950.556954640953
400	22939.00390565471
500	23160.863690642604
600	21694.169768948286
700	23643.27903150536
800	22556.042052982557
900	23622.64737310547
1000	23179.236485161135
1100	22306.289383536823
1200	22781.267881139946
1300	22050.883257132224
1400	23533.680280988647
1500	22321.445339265556
1600	22670.313561971045
1700	23740.74719373923
1800	23140.937262184554
1900	22201.444125463753
2000	23380.153380125354
2100	22753.357141167402
2200	22877.54810597802
2300	23029.784743120254
2400	22453.636794423604
2500	21928.700695741412
2600	22217.934458391876
2700	22573.56059564861
2800	22930.95434398638
2900	23722.320071176997
3000	22842.63598687696
3100	22515.385034772993
3200	22628.247977232844
3300	22937.199570914392
3400	22681.14434330845
3500	23218.448898663348
3600	22891.388444435706
3700	23155.73656942754
3800	21631.071288429495
3900	22370.936937349437
4000	23241.068445890538
4100	22956.828597088796
4200	22873.686577188724
4300	22993.036997676867
4400	23027.388910546182
4500	22486.1699869127
4600	22239.189732971307
4700	23210.067311879597
4800	23205.418620700573
4900	23310.323074938155
5000	23479.155554745517
5100	21707.58161433365
5200	22409.2354209359
5300	21811.2119646699
5400	23225.977480965466
5500	23230.936520612686
5600	23139.479158115886
5700	22175.628901486714
5800	22982.614109782633
5900	23125.575748887586
6000	22822.39741824425
6100	22758.455640193173
6200	24630.127103815084
6300	22595.41643858027
6400	23437.135948044626
6500	23481.974509468513
6600	22292.17863870722
6700	23649.968626307636
6800	23066.738144383144
6900	23867.47134996955
7000	23501.099199344004
7100	24237.62500322016
7200	23610.939652469744
7300	23221.032435758745
7400	23522.980531534926
7500	24129.365483468202
7600	23118.418373745535
7700	23824.501711534074
7800	23183.690109080424
7900	22637.10185125486
8000	23974.672837027512
8100	23102.818953512884
8200	23013.70854093002
8300	24026.469408552828
8400	23763.92033717162
8500	23524.893772679035
8600	23383.299985961745
8700	24008.49386366792
8800	23571.971554734148
8900	22659.21121123162
9000	23906.866160115584
9100	23021.16951578764
9200	22853.535965624462
9300	23181.57895928718
9400	23305.115244968234
9500	23713.456021388985
9600	23005.598499218187
9700	24117.31631536703
9800	22836.988512783784
9900	24225.47369069404
10000	23603.374158961946
10100	22676.37071111875
10200	23458.593899545
10300	24077.909149444502
10400	23777.527640806296
10500	22775.74355321375
10600	23365.782005828834
10700	23056.738124536732
10800	24015.474432020248
10900	23228.50251292685
11000	22656.68896757844
11100	23151.607204200176
11200	24294.232818383476
11300	23811.301351230697
11400	23565.02334568074
11500	22945.398649386916
11600	23775.029966391594
11700	23309.54012326199
11800	24159.395747064238
11900	25962.45867900881
12000	24096.72143242173
12100	24214.717573415095
12200	24407.514182119863
12300	24589.11038199988
12400	24397.94987849886
12500	24141.675863249486
12600	23860.749674364826
12700	23899.94496528558
12800	23593.768997856518
12900	22603.227161422456
13000	23580.91393650473
13100	24262.90952762662
13200	25043.095382277104
13300	23855.03605235693
13400	23319.904777381467
13500	23884.355200365644
13600	23765.3198940293
13700	23597.765860503587
13800	23733.63628317613
13900	24587.271069053942
14000	24392.607057012756
14100	24351.430065551063
14200	24538.52665856105
14300	23074.792337804764
14400	24460.7241937087
14500	24597.277049272936
14600	23992.89283662088
14700	24049.870414251578
14800	24122.03125427714
14900	24073.84827498261
15000	24421.7647912686
15100	23884.976488397806
15200	24304.74905524927
15300	24155.600034325893
15400	24025.661263707607
15500	24781.825974197254
15600	24015.92934484543
15700	23709.953706370867
15800	24360.083194923336
15900	23920.487170141696
16000	23687.20126516675
16100	23983.478751593877
16200	23418.031168026282
16300	23722.849916597104
16400	23535.67030726222
16500	25447.022953994794
16600	23846.187844917753
16700	23075.288164018453
16800	23557.22135841877
16900	24098.32623014024
17000	24503.76171165766
17100	23289.201217137466
17200	24251.532657421587
17300	23169.81643474956
17400	23682.244278107228
17500	24455.958916917563
17600	24528.888272932367
17700	24671.992832373646
17800	24727.371569474937
17900	23208.358142905516
18000	23850.914563205417
18100	23256.098380519026
18200	24168.984640818264
18300	23874.041409303165
18400	23662.90750762039
18500	24080.826658529702
18600	23809.00761061312
18700	24987.823819886882
18800	23928.13267194117
18900	23093.81355674988
19000	24244.53446472356
19100	23402.192682411565
19200	22569.17187330252
19300	23824.75378328332
19400	23872.15141970055
19500	23188.9586078573
19600	23320.93596085957
19700	24305.461310041945
19800	24649.24182809454
19900	24006.402230892607
20000	23441.149865053852
20100	24526.07040999176
20200	24418.130909256426
20300	23488.459910332087
20400	24771.03422548857
20500	23353.74282114173
20600	22983.4503857389
20700	24446.43630739346
20800	25034.59482510407
20900	24038.086575692716
21000	24002.78516504377
21100	25295.60389204388
21200	25110.778047392832
21300	24994.625672156846
21400	24619.2098760688
21500	25001.657228357242
21600	25874.05118177461
21700	25179.1602684424
21800	25200.640945741867
21900	25182.65184035263
22000	24940.888641809182
22100	26013.0352061821
22200	24386.859267660155
22300	25187.584921281745
22400	25054.652494542734
22500	25606.565472056947
22600	24954.472745718587
22700	24962.528974246892
22800	25821.69162748006
22900	26204.740969676077
23000	25299.10128804672
23100	25383.284930571015
23200	24884.26235874368
23300	26634.10115262285
23400	25604.097629277163
23500	25963.563225997736
23600	26329.93258606304
23700	25934.165094208583
