#MCS	Surface_energy
0	35345.45899726738
100	1143.6780682241608
200	1117.6933268884632
300	1093.5996298308735
400	1104.9065544866553
500	1030.142514529507
600	1091.3397080864083
700	1047.3789976012993
800	1184.7308690995062
900	1197.6618959154969
1000	1092.1833536405327
1100	987.7831267444851
1200	1061.7423222716022
1300	1040.0425340445404
1400	1064.8182618337082
1500	1106.5966876694752
1600	1043.0257957330857
1700	998.8612935036992
1800	1107.6375777174223
1900	1072.4616808932626
2000	1124.4638335545992
2100	1194.7088132713975
2200	1148.3867667047957
2300	971.7566487783614
2400	1248.473518730405
2500	1000.6859597840967
2600	986.3628662361194
2700	1088.5433204520934
2800	972.4888804185026
2900	1043.302391856872
3000	1242.399777593451
3100	1103.820894615436
3200	1295.8321870272582
3300	1249.777794298789
3400	1050.8608161225973
3500	1038.6693317938793
3600	1237.7022318512568
3700	1270.5768832512863
3800	1339.0319669184944
3900	1056.5737579411007
4000	1079.7361472658085
4100	1184.1067891363007
4200	995.2607659819106
4300	1007.2516022872258
4400	964.285585454498
4500	1263.968491682115
4600	998.7463825421352
4700	1082.0051245739523
4800	1087.0352163828634
4900	1030.1957417755834
5000	1160.346659250688
5100	1284.9075548776
5200	1091.1310711149783
5300	1002.7117475340452
5400	1058.0621048465807
5500	1115.6501072776637
5600	1252.7080789472534
5700	1185.627640164446
5800	1090.143677023593
5900	1072.5815964367223
6000	1226.2720062568842
6100	1099.269885799138
6200	1030.6600794070396
6300	1157.0258917128472
6400	1139.9950609684674
6500	1243.1960561803814
6600	1115.2360233394968
6700	1105.9728750987363
6800	1031.6938425145354
6900	1271.2070402325412
7000	1047.188801361476
7100	1177.09328136637
7200	1019.668161047467
7300	1424.098882604375
7400	1002.6085492098084
7500	1101.720373009513
7600	1086.6080106060988
7700	1430.066908049965
7800	1129.699318540386
7900	1186.5563896616925
8000	1321.5666289309115
8100	1098.7710985519961
8200	1081.4382762137998
8300	1287.2632595231069
8400	1447.1870873557787
8500	1234.5322906352255
8600	1629.2428000096045
8700	1309.4886009718864
8800	1280.4195283050162
8900	1229.584803550947
9000	1312.186043421045
9100	1296.096614000102
9200	1236.768687706235
9300	1347.8725393971279
9400	1023.9063874608036
9500	1334.3267435559876
9600	1467.9962780221438
9700	1350.109486516514
9800	1347.2486589728408
9900	1187.2270118106578
10000	1322.5721118353276
10100	1321.9859958605125
10200	1529.622138960247
10300	1598.1578183335225
10400	1490.79498722821
10500	1433.290191006722
10600	1280.8313668235523
10700	1366.208815266808
10800	1289.4727366682841
10900	1299.7946848564334
11000	1653.6559367992745
11100	1369.086675986153
11200	1298.2826395171683
11300	1568.9512540809865
11400	1590.777311501726
11500	1559.2536560341812
11600	1385.0470436606317
11700	1304.3993975920598
11800	1303.65210439089
11900	1515.3277383156396
12000	1237.166864424008
12100	1493.533902985698
12200	1517.4808096699194
12300	1277.1889011758435
12400	1394.4306321655022
12500	1706.820923055791
