#MCS	VS_mean	VS_ideal_mean	Q_mean	D_mean
0	0.39969741922217916	0.6099264193274276	0.6552057916225381	0.1614279362107621
100	0.37232082824582835	0.5551528067453884	0.669616132597097	1.6705707329252135
200	0.376632102157102	0.5591604621087451	0.6726989518167268	3.0971470266143153
300	0.37434947300464516	0.5567273397542375	0.6716997503879005	4.5869457568048935
400	0.372153273546377	0.5570344889898798	0.667308413040113	6.080926141449864
500	0.37168530728530724	0.5559077963829188	0.6676791468420272	7.5606705072297125
600	0.3790527879527879	0.5602224637192811	0.6757922862061999	9.1493442017146
700	0.36959170736670727	0.5548609666028426	0.6648566082624293	10.670332589666469
800	0.3759904354904355	0.557880236138842	0.6731963208883255	12.092226527840678
900	0.36823652828652825	0.5547919310467022	0.6628360708105001	13.55017353483647
1000	0.3716715404965406	0.556229203386315	0.6675732149943614	14.963009057145532
1100	0.3738066463868189	0.5583590590362162	0.6684477515138281	16.536005690699632
1200	0.3731650650712496	0.5575535990075422	0.6682017988114265	18.075557803156144
1300	0.3750105248200075	0.5597762463404459	0.6692395675284081	19.53620282875304
1400	0.3720901200651201	0.5557009640769315	0.6686066948133609	21.00291122111365
1500	0.37615326863430326	0.5595237411182395	0.6716753182155812	22.542562458759388
1600	0.3748550913645743	0.5585277569582623	0.670343524261758	24.184237114451772
1700	0.37164619454619474	0.5560177905744237	0.6676721220623998	25.600382897439825
1800	0.37439553036363393	0.5578321238155602	0.6704373410354932	27.073889928570015
1900	0.37873637110016406	0.5609546810036738	0.6744369639570597	28.582922911998892
2000	0.3706071992780835	0.5575771535702368	0.6638341359337941	30.06938650450603
2100	0.37638606690244636	0.5595118280707139	0.6719540692182726	31.60220143904524
2200	0.37486053745105474	0.5591102920154726	0.6695804323536733	33.04202612548376
2300	0.3759507224257224	0.5591782341453475	0.6716748149759502	34.39561154824225
2400	0.3767788033486311	0.5611321855533099	0.6705633602338991	35.99882203175333
2500	0.38033190918277127	0.5628111681437244	0.6749501742188557	37.52728798757546
2600	0.379002029388236	0.5625153537355971	0.6731151882267079	38.98601053732803
2700	0.37674282837213885	0.5614146899795095	0.6704286962851828	40.384598220268906
2800	0.3740375282444247	0.5607701580620131	0.666141227563452	41.81255301399321
2900	0.37171854588578734	0.5582104074445905	0.665079568138637	43.26836694694237
3000	0.3773148470941573	0.5614100201163784	0.6711520158269318	44.76462863818408
3100	0.3769357361636838	0.5625272275911173	0.6692151969341409	46.18630238099912
3200	0.37730537046800167	0.5627541643959705	0.669442153664514	47.640715075378914
3300	0.3772179234558547	0.5622686718801166	0.6701155468211222	49.126301615916574
3400	0.3788401726944832	0.5635208969612749	0.6714601308323664	50.61993353133316
3500	0.3778608320229387	0.5623768338131927	0.6708094454000468	51.94639275117762
3600	0.37881437071070706	0.5635920464508792	0.6711260347216002	53.24085759369697
3700	0.37728142709780643	0.5634315771157165	0.6687476429474208	54.62421670582227
3800	0.38428368545206704	0.5684996898580943	0.6752179556802187	55.95178690923114
3900	0.3812476720278445	0.5668969245877926	0.6715034337807118	57.22327912798704
4000	0.37819094203390624	0.5648622605011676	0.6688898420833005	58.534196757398504
4100	0.38139239265760394	0.5661051192983535	0.6729035560740061	59.874772678589245
4200	0.3808996990958616	0.5669323450509751	0.6710765809019891	61.23771320523002
4300	0.3803719499275187	0.5668493740043824	0.6701922482279596	62.67174060934824
4400	0.3824442500666638	0.5672497907604361	0.6732922475329245	64.16970658218217
4500	0.38256186113046525	0.5694003677575579	0.6710660020824555	65.49704851121557
4600	0.3875506275457331	0.570847608881719	0.6781465224456734	66.84456026909218
4700	0.38249431263901523	0.5686950754864558	0.6714229355113006	68.15092887381178
4800	0.3827324710719594	0.5691180578707513	0.6715411807337022	69.43974093282252
4900	0.3817613095634231	0.5691090734878159	0.67024703074344	70.73604555063542
5000	0.38247836553175135	0.5693662456549013	0.670753835437219	72.08826167956606
5100	0.3938649695338239	0.5749135038601277	0.6843269279555512	73.42540005099004
5200	0.3894722616036993	0.5735984296964326	0.6780172576039444	74.79044496526798
5300	0.39142949789493864	0.5758912961667733	0.6788599022628656	76.22645152710383
5400	0.38524847284585184	0.5720115347788135	0.6725059042531757	77.57247326644463
5500	0.3879302097924734	0.572639827844715	0.6761861223998585	79.02948618954586
5600	0.3869177383419734	0.5732616766097652	0.6740564792636508	80.41040946188068
5700	0.3902074587097182	0.5765635028362073	0.6757133630961253	81.83411773079007
5800	0.38857932751162033	0.5749436314713003	0.6751888666396039	83.17739074497486
5900	0.39041595715185823	0.5752573684906968	0.6773073764268481	84.48841188743286
6000	0.39064540444646795	0.5764255032472766	0.6770035107219369	85.86267563351728
6100	0.3930733387387237	0.5771457215884853	0.6803522231118975	87.14248905799369
6200	0.3839125175053081	0.5724973659513004	0.6697311463393956	88.44451975750495
6300	0.39450340413227636	0.5788088631985607	0.6805979102419526	89.69834948958935
6400	0.3919325364546098	0.5769183147466659	0.6783042390601726	90.95302043256024
6500	0.3937860483463515	0.5773231159199593	0.681214896829663	92.27808167229985
6600	0.3970100723453614	0.5814940999829145	0.6816194531701101	93.62878400119197
6700	0.3919634812700998	0.5781847100865826	0.6772835887852764	94.93317871248468
6800	0.3931403545451375	0.5803093067524201	0.6763785134988324	96.21853616672296
6900	0.3927024493263394	0.578649162267098	0.6774969470728045	97.46595978031553
7000	0.39510539377042436	0.5807115022281295	0.6791898195307546	98.6755505716343
7100	0.3937942331535003	0.5788788363934206	0.678712413494846	99.89741835070916
7200	0.39564131521467466	0.581143457042081	0.6795906197195438	101.14444049042288
7300	0.3969270913509814	0.5833222057521021	0.6794200092962263	102.28400518571605
7400	0.39889828401756255	0.5829218796248195	0.6830323155008968	103.59971674801156
7500	0.39365576314726775	0.5817810897141037	0.6754313554637013	104.86120852576634
7600	0.39930190233051055	0.5854361251522697	0.6808332279233632	106.15827156660421
7700	0.39887535274558944	0.583938880100654	0.6819143392289071	107.35770144229535
7800	0.39926347530804085	0.5860974720981194	0.6797374357141966	108.70989737042744
7900	0.4035570832033139	0.5885593182918655	0.6838397927592716	109.93730978341355
8000	0.3993925521084577	0.5853104287193829	0.6811702544092398	111.26621773233691
8100	0.4032613031193448	0.5883527827000978	0.6839319565464599	112.48176295710599
8200	0.4066751008320461	0.5891298970577798	0.6887666643412235	113.69996095918604
8300	0.40089486332069996	0.5871056006581599	0.6812724021639655	114.91470127336514
8400	0.40348918553303265	0.5885070591947941	0.6843688830807955	116.0439266932215
8500	0.4040162886328362	0.5891668839160341	0.6837597579735174	117.30250976405317
8600	0.4053346294159571	0.5903575558851809	0.6848715766817169	118.35919441352077
8700	0.4023419992407232	0.5891307105881608	0.6815791003613484	119.63227152575978
8800	0.40793717144075176	0.5912608278021264	0.6884361295868784	120.78202801699173
8900	0.40889692538300665	0.5943011394908865	0.6865901970846231	121.94371688973415
9000	0.4049641231355077	0.5915075234954114	0.6834533843771611	123.20639976426645
9100	0.41112557762664176	0.594472801973012	0.6897894307067459	124.31644493569887
9200	0.41334277376237316	0.5953190673967514	0.6926270566841782	125.40679169781617
9300	0.4098284361700192	0.5949958310647707	0.6866970669317617	126.53487845994455
9400	0.41039045427387655	0.5954123245950942	0.6870575782411951	127.5905690154393
9500	0.41002663515570764	0.5950486325974172	0.6872273982359508	128.88179632587844
9600	0.415442279401778	0.5977869136201341	0.6930472228718	129.9692179438549
9700	0.4094727632157133	0.5957111247784433	0.6857413535849	131.07775645706613
9800	0.41644507757742105	0.5993714433427707	0.6930197028169104	132.19083453737565
9900	0.4093293903369502	0.5961963310591835	0.6845596228717894	133.38899343924666
10000	0.41309689572184705	0.5988618487201861	0.6881870391314695	134.51850906780538
10100	0.41936739002298856	0.6017300239502505	0.6949229659356324	135.59932113104594
10200	0.4166326602109379	0.599919031402647	0.6921763284182183	136.78994039856647
10300	0.41339944579048926	0.5989680340941734	0.6876341826519656	137.82283832087964
10400	0.4165333494892857	0.6004219587539121	0.691444034220273	138.90278237092386
10500	0.42109882423536715	0.6037712810404977	0.6958201419848291	140.05907629376918
10600	0.4191791834277464	0.602670162526366	0.6932943653457415	141.05146468136954
10700	0.4208783960551931	0.6038908422619249	0.6945863182458519	142.2449031783233
10800	0.4156878557723304	0.6021508263569284	0.6883465291958661	143.32386353418016
10900	0.42159056603221223	0.6050208307529118	0.6947490806763373	144.3474121864841
11000	0.4248707958822805	0.606896392965634	0.6976971020436232	145.35232955277286
11100	0.42300191469135756	0.6062235881976542	0.6955722029549363	146.3373179835798
11200	0.41973959547465683	0.6037986536415918	0.6925410197162722	147.37362185024594
11300	0.4219645600404444	0.6056531846612647	0.6941689393412606	148.34694701181215
11400	0.4209674568038537	0.6069069790692017	0.6915883720662638	149.3588966577024
11500	0.4248997742109692	0.6092952519152631	0.6953639997180552	150.3990696497477
11600	0.4251043950054419	0.6079559376587792	0.6967053049920525	151.32137616614435
11700	0.4275340096217618	0.609545563296334	0.6991328843813153	152.465309065551
11800	0.4247027569459826	0.6082973815551722	0.6962559520053812	153.53800939736288
11900	0.41659082462289965	0.6039887373811124	0.6874652277313623	154.63633391090164
12000	0.4244707728828423	0.609198801776042	0.6945871928452669	155.73792467383976
12100	0.4265505285900042	0.6094345928627182	0.6976339421275529	156.89244086798146
12200	0.42732701448023014	0.6095609767791975	0.6988724213253805	157.8697793513055
12300	0.4239342306117086	0.609541680547902	0.6931709116198893	158.9199360868355
12400	0.4263059988862317	0.6104452641389134	0.6957292458997921	159.97604011397027
12500	0.42786127582429534	0.6120965098948643	0.6970249203997618	161.00844734536014
12600	0.4300578235364237	0.6133210203452175	0.6991081154053993	161.986382545061
12700	0.42841849705291685	0.6137780941321275	0.6950668297393715	162.9739166775685
12800	0.4313601470033776	0.6148101802740681	0.6988239979739415	163.94634752023183
12900	0.43545122940444253	0.6180587987140196	0.702282086856213	164.92311896030844
13000	0.4347624205616362	0.6161215793100117	0.703393917755055	165.90530845688698
13100	0.43072980837913294	0.6150673882051835	0.697552554441787	166.8943519515919
