#MCS	Mean_volume
42900	42.97222222222222
43000	42.97222222222222
43100	43.21296296296296
43200	43.2962962962963
43300	43.333333333333336
43400	43.0
43500	42.788990825688074
43600	42.862385321100916
43700	43.0
43800	42.65137614678899
43900	43.08256880733945
44000	43.018348623853214
44100	43.07339449541284
44200	43.22935779816514
44300	43.18348623853211
44400	43.26605504587156
44500	42.93636363636364
44600	42.663636363636364
44700	43.18181818181818
44800	43.03636363636364
44900	43.10909090909091
45000	42.75675675675676
45100	42.86486486486486
45200	42.8018018018018
45300	42.630630630630634
45400	42.828828828828826
45500	42.75675675675676
45600	42.846846846846844
45700	42.972972972972975
45800	43.11711711711712
45900	43.22522522522522
46000	42.85585585585586
46100	42.776785714285715
46200	42.848214285714285
46300	42.80357142857143
46400	43.026785714285715
46500	42.910714285714285
46600	43.017857142857146
46700	43.11607142857143
46800	42.9375
46900	43.017857142857146
47000	43.107142857142854
47100	42.92920353982301
47200	42.421052631578945
47300	42.48245614035088
47400	42.68421052631579
47500	42.780701754385966
47600	42.73684210526316
47700	42.53508771929825
47800	42.76315789473684
47900	42.73684210526316
48000	43.10526315789474
48100	42.2
48200	42.53913043478261
48300	42.756521739130434
48400	42.59130434782609
48500	42.643478260869564
48600	42.88695652173913
48700	42.982608695652175
48800	43.10434782608696
48900	42.869565217391305
49000	42.947826086956525
49100	43.23478260869565
49200	43.2695652173913
49300	43.13913043478261
49400	43.321739130434786
49500	43.31304347826087
49600	43.36521739130435
49700	43.46086956521739
49800	43.4
49900	43.756521739130434
50000	43.52173913043478
50100	43.59130434782609
50200	43.608695652173914
50300	43.95652173913044
50400	43.97391304347826
50500	44.017391304347825
50600	44.278260869565216
50700	44.13913043478261
50800	44.278260869565216
50900	43.947826086956525
51000	43.741379310344826
51100	43.8448275862069
51200	44.0
51300	43.991379310344826
51400	44.11206896551724
51500	44.206896551724135
51600	43.91379310344828
51700	43.72649572649573
51800	43.794871794871796
51900	44.042735042735046
52000	43.97435897435897
52100	43.378151260504204
52200	43.20168067226891
52300	42.8
52400	42.766666666666666
52500	43.108333333333334
52600	43.025
52700	43.083333333333336
52800	42.958333333333336
52900	43.18333333333333
53000	42.94214876033058
53100	42.80165289256198
53200	42.93388429752066
53300	42.87603305785124
53400	43.00826446280992
53500	42.778688524590166
53600	41.846774193548384
53700	42.096774193548384
53800	42.21774193548387
53900	41.576
54000	41.864
54100	41.96
54200	42.104
54300	42.0
54400	42.096
54500	42.416
54600	41.992063492063494
54700	42.0
54800	41.62698412698413
54900	41.669291338582674
55000	41.71653543307087
55100	41.60629921259842
55200	41.484375
55300	41.6796875
55400	41.921875
55500	41.921875
55600	41.8203125
55700	42.09375
55800	41.457364341085274
55900	41.75968992248062
56000	41.689922480620154
56100	41.64341085271318
56200	41.57692307692308
56300	41.31297709923664
56400	41.221374045801525
56500	41.25954198473283
56600	41.603053435114504
56700	41.6793893129771
56800	41.47328244274809
56900	41.83969465648855
57000	41.446969696969695
57100	41.515151515151516
57200	41.097744360902254
57300	41.40601503759399
57400	41.090225563909776
57500	41.42857142857143
57600	40.82962962962963
57700	40.279411764705884
57800	40.35294117647059
57900	40.50735294117647
58000	40.470588235294116
58100	40.6985294117647
58200	40.6985294117647
58300	40.13768115942029
58400	40.3768115942029
58500	40.21739130434783
58600	40.12230215827338
58700	39.621428571428574
58800	39.82857142857143
58900	40.042857142857144
59000	40.128571428571426
59100	39.871428571428574
59200	40.23571428571429
59300	40.34285714285714
59400	40.58571428571429
59500	39.836879432624116
59600	40.13475177304964
59700	39.83098591549296
59800	40.021126760563384
59900	39.84507042253521
60000	40.24647887323944
60100	40.17605633802817
60200	40.11971830985915
60300	40.45070422535211
60400	40.63380281690141
60500	40.28169014084507
60600	40.7887323943662
60700	40.563380281690144
60800	40.809859154929576
60900	40.82517482517483
61000	40.75524475524475
61100	40.81818181818182
61200	40.81118881118881
61300	40.74825174825175
61400	40.9020979020979
61500	40.84722222222222
61600	40.9375
61700	40.770833333333336
61800	41.0
61900	41.22222222222222
62000	41.44444444444444
62100	40.93103448275862
62200	41.08275862068965
62300	40.91034482758621
62400	41.3013698630137
62500	40.76712328767123
62600	40.87755102040816
62700	40.5
62800	40.682432432432435
62900	40.560810810810814
63000	40.91216216216216
63100	40.932432432432435
63200	40.99324324324324
63300	41.04054054054054
63400	41.182432432432435
63500	41.4527027027027
63600	41.358108108108105
63700	41.100671140939596
63800	41.053691275167786
63900	41.369127516778526
64000	41.51006711409396
64100	41.61744966442953
64200	41.81879194630873
64300	41.90604026845637
64400	41.97315436241611
64500	42.22147651006711
64600	41.766666666666666
64700	42.013333333333335
64800	41.65562913907285
64900	41.741721854304636
65000	41.615894039735096
65100	41.625
65200	41.61842105263158
65300	41.49673202614379
65400	41.02597402597402
65500	41.35064935064935
65600	41.40909090909091
65700	41.52597402597402
65800	41.21935483870968
65900	40.92307692307692
66000	41.39102564102564
66100	41.41025641025641
66200	41.467948717948715
66300	41.4140127388535
66400	41.089171974522294
66500	41.48407643312102
66600	41.59235668789809
66700	41.47133757961783
66800	41.64968152866242
66900	41.605095541401276
67000	41.853503184713375
67100	41.76433121019108
