#MCS	Total_cells	Percent_div_0	Percent_div_1	Percent_div_2	Percent_div_3	Percent_div_4	Percent_div_5	Percent_div_6	Percent_div_7	Percent_div_8	Percent_div_9	Percent_div_10
80700	156	30.76923076923077	64.1025641025641	5.128205128205128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80800	156	30.76923076923077	64.1025641025641	5.128205128205128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
80900	156	30.76923076923077	64.1025641025641	5.128205128205128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81000	157	29.936305732484076	64.96815286624204	5.095541401273886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81100	157	29.936305732484076	64.96815286624204	5.095541401273886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81200	157	29.936305732484076	64.96815286624204	5.095541401273886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81300	157	29.936305732484076	64.96815286624204	5.095541401273886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81400	158	29.746835443037973	63.92405063291139	6.329113924050633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81500	158	29.746835443037973	63.92405063291139	6.329113924050633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81600	158	29.746835443037973	63.92405063291139	6.329113924050633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81700	158	29.746835443037973	63.92405063291139	6.329113924050633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81800	158	29.746835443037973	63.92405063291139	6.329113924050633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
81900	158	29.746835443037973	63.92405063291139	6.329113924050633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82000	159	28.930817610062892	64.77987421383648	6.289308176100629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82100	159	28.930817610062892	64.77987421383648	6.289308176100629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82200	159	28.930817610062892	64.77987421383648	6.289308176100629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
82300	159	28.930817610062892	64.77987421383648	6.289308176100629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
