#MCS	Mean_Pressure
0	560.0
10	32.000274658203125
20	32.000579833984375
30	32.000885009765625
40	-7.998809814453125
50	32.001495361328125
60	32.001800537109375
70	32.002105712890625
80	-7.997589111328125
90	-7.997283935546875
100	32.003021240234375
110	32.003326416015625
120	-7.996368408203125
130	28.00201416015625
140	-11.9976806640625
150	-11.99737548828125
160	8.0029296875
170	28.00323486328125
180	28.0035400390625
190	-11.99615478515625
200	28.004150390625
210	48.00445556640625
220	8.0047607421875
230	48.00506591796875
240	8.00537109375
250	28.00567626953125
260	20.0030517578125
270	10.00335693359375
280	10.003662109375
290	20.00396728515625
300	30.0042724609375
310	10.00457763671875
320	20.0048828125
330	10.00518798828125
340	10.0054931640625
350	20.00579833984375
360	0.006103515625
370	30.00640869140625
380	20.0067138671875
390	7.003612518310547
400	17.003917694091797
410	17.004222869873047
420	12.004470825195312
430	22.004776000976562
440	27.005081176757812
450	2.0053863525390625
460	32.00569152832031
470	22.005996704101562
480	12.006301879882812
490	2.0066070556640625
500	17.006912231445312
510	19.081385685847355
520	26.003923416137695
530	18.504228591918945
540	23.504533767700195
550	28.504810333251953
560	13.505115509033203
570	18.505420684814453
580	18.505725860595703
590	11.006031036376953
600	21.006336212158203
610	18.506641387939453
620	21.006946563720703
630	11.007251739501953
640	25.337412516276043
650	24.504127502441406
660	25.754432678222656
670	17.00472354888916
680	27.0050048828125
690	29.50531005859375
700	27.005615234375
710	29.50592041015625
720	22.0062255859375
730	18.25653076171875
740	15.7568359375
750	20.75714111328125
760	17.183478860294116
770	29.97227744450645
780	36.25426530838013
790	38.12957048416138
800	39.379849433898926
810	38.130149841308594
820	33.130455017089844
830	37.505760192871094
840	33.756065368652344
850	29.381370544433594
860	30.006675720214844
870	33.131980895996094
880	28.132286071777344
890	27.449199821375593
900	38.00406455993652
910	59.56686973571777
920	58.94217491149902
930	60.81744194030762
940	63.31774711608887
950	54.25555229187012
960	55.81835746765137
970	50.50616264343262
980	54.88146781921387
990	53.00677299499512
1000	49.88207817077637
1010	51.13238334655762
1020	38.837011958775896
1030	53.02822082519531
1040	76.59817516803741
1050	89.72347319126129
1060	98.56749296188354
1070	96.8802934885025
1080	97.72434711456299
1090	93.13090026378632
1100	88.63120377063751
1110	88.50650787353516
1120	86.94431245326996
1130	87.16336727142334
1140	82.93346360499757
1150	72.77098017153533
1160	80.04270049760926
1170	91.73671211783342
1180	118.40782270039598
1190	130.4941863416459
1200	133.8760425246625
1210	132.67081437978726
1220	131.07419889267177
1230	128.11554776245833
1240	127.92794080163168
1250	125.59551963134288
1260	126.36290413992745
1270	122.59729541596913
1280	109.77119846108519
1290	115.82669569126486
1300	125.41684019799327
1310	137.14799180644462
1320	142.14200361302665
1330	144.80360871061274
1340	147.1766069872328
1350	148.03719465981428
1360	149.28864301116772
1370	149.3572536892361
1380	150.1349430972351
1390	149.23083799583478
1400	141.37862681845306
1410	135.30694317665828
1420	136.41924013894896
1430	145.6983348013142
1440	155.54134343854707
1450	160.74780586297564
1460	162.47898588905718
1470	163.00568433489119
1480	162.02417989670178
1490	164.29370336707456
1500	166.6382075458786
1510	171.95874537395315
1520	178.17504856229243
1530	179.37333894980074
1540	179.4398096142983
1550	180.7524420522691
1560	185.51601698418625
1570	193.59600438998538
1580	198.18552511097423
1590	201.72184732908843
1600	204.48970794677734
1610	206.44421443684897
1620	207.8782006933334
1630	209.76811297633338
1640	212.03774553793224
1650	214.2173965889606
1660	216.78114418483773
1670	217.9252642263671
1680	220.90067355942068
1690	223.5081206781429
1700	225.7036750180484
1710	227.34557635612046
1720	228.5237274169922
1730	229.7471613660792
1740	230.68256322554814
1750	231.40714487318175
1760	231.86942399923157
1770	232.49906619270345
1780	232.90672813927208
1790	233.482565257238
1800	234.06285761594177
1810	234.32350497860293
1820	234.74171795133228
1830	235.18505464002482
1840	235.68031360551944
1850	236.00582408333966
1860	236.31105969968877
1870	236.75794415937696
1880	236.86082738278574
1890	237.21160097982258
1900	237.4082099489007
1910	237.70701586962696
1920	238.00183771141022
1930	238.1272103988116
1940	238.31909263151786
1950	238.51078408849878
1960	238.75730586573334
1970	239.01177999750522
1980	239.27023024966655
1990	239.38981872497953
2000	239.51326061502587
2010	239.73173215349001
2020	239.83509194348053
2030	240.01375263677934
2040	240.08517511307247
2050	240.25581068462796
2060	240.29931359203604
2070	240.37448811223888
2080	240.54495457024476
2090	240.54468511059002
2100	240.69129290115484
2110	240.85771255530952
2120	240.97658373684857
2130	241.00778402196298
2140	241.17412129015025
2150	241.3602606140741
2160	241.54243945131208
2170	241.68501425261545
2180	241.79986613811832
2190	241.80293446068478
2200	241.9335633230233
2210	242.02064925641602
