#MCS	Mean_Volume
0	11.0
10	26.0
20	28.0
30	30.0
40	33.0
50	34.0
60	36.0
70	38.0
80	41.0
90	43.0
100	44.0
110	46.0
120	49.0
130	25.0
140	28.0
150	30.0
160	31.5
170	33.0
180	35.0
190	38.0
200	39.0
210	40.5
220	43.5
230	44.5
240	47.5
250	49.0
260	25.75
270	28.0
280	30.0
290	31.75
300	33.5
310	36.0
320	37.75
330	40.0
340	42.0
350	43.75
360	46.25
370	47.5
380	49.75
390	26.625
400	28.375
410	30.375
420	32.5
430	34.25
440	36.125
450	38.75
460	40.0
470	42.25
480	44.5
490	46.75
500	48.375
510	30.923076923076923
520	26.8125
530	29.0
540	30.875
550	32.75
560	35.125
570	37.0
580	39.0
590	41.1875
600	42.9375
610	45.0
620	46.9375
630	49.1875
640	27.133333333333333
650	27.40625
660	29.375
670	31.59375
680	33.34375
690	35.28125
700	37.34375
710	39.28125
720	41.46875
730	43.5625
740	45.625
750	47.5
760	46.64705882352941
770	26.238095238095237
780	27.65625
790	29.609375
800	31.578125
810	33.609375
820	35.734375
830	37.625
840	39.71875
850	41.828125
860	43.8125
870	45.734375
880	47.859375
890	40.35443037974684
900	26.09375
910	27.5546875
920	29.5703125
930	31.5234375
940	33.4609375
950	35.6875
960	37.6484375
970	39.78125
980	41.671875
990	43.71875
1000	45.796875
1010	47.765625
1020	35.88202247191011
1030	26.672
1040	27.4140625
1050	29.0859375
1060	30.84765625
1070	32.8671875
1080	34.8359375
1090	36.9375
1100	39.0390625
1110	41.03515625
1120	43.0703125
1130	45.0625
1140	46.976653696498055
1150	36.391304347826086
1160	30.89622641509434
1170	27.031496062992126
1180	28.174168297455967
1190	29.6692759295499
1200	31.275929549902152
1210	32.96477495107632
1220	34.66731898238748
1230	36.403131115459885
1240	38.11545988258317
1250	39.88258317025441
1260	41.57534246575342
1270	42.17523809523809
1280	35.492283950617285
1290	32.33152909336942
1300	30.482843137254903
1310	30.648170011806375
1320	31.47856315179606
1330	32.55160550458716
1340	33.51642129105323
1350	34.61054994388328
1360	35.841340782122906
1370	37.02777777777778
1380	38.30266075388027
1390	39.5646408839779
1400	38.65589155370177
1410	34.792538671519566
1420	31.936944219886822
1430	30.885109599395314
1440	30.86360320933625
1450	31.57338129496403
1460	32.64992826398852
1470	33.667857142857144
1480	34.48409893992933
1490	35.535260930888576
1500	36.38192011212334
1510	37.24668064290706
1520	38.02857142857143
1530	37.51245791245791
1540	36.17920918367347
1550	34.378056052474655
1560	32.812885154061625
1570	32.57174151150055
1580	32.69230769230769
1590	32.881182795698926
1600	33.13704496788009
1610	33.3936
1620	33.65851063829787
1630	33.903927813163484
1640	34.13725490196079
1650	34.28646934460888
1660	34.347551342812004
1670	33.832471561530504
1680	33.47037793667007
1690	33.14921598381386
1700	33.11571500757959
1710	33.08228167592125
1720	33.015617128463475
1730	32.98238550578762
1740	32.94922071392659
1750	32.91612255148167
1760	32.866599799398195
1770	32.85012531328321
1780	32.8008008008008
1790	32.78439219609805
1800	32.78439219609805
1810	32.735264735264735
1820	32.71892161757364
1830	32.71892161757364
1840	32.71892161757364
1850	32.70259481037924
1860	32.686284289276806
1870	32.686284289276806
1880	32.653712007972096
1890	32.653712007972096
1900	32.63745019920319
1910	32.63745019920319
1920	32.63745019920319
1930	32.60497512437811
1940	32.58876181004475
1950	32.57256461232604
1960	32.57256461232604
1970	32.57256461232604
1980	32.57256461232604
1990	32.55638350720318
2000	32.540218470705064
2010	32.540218470705064
2020	32.52406947890819
2030	32.52406947890819
2040	32.507936507936506
2050	32.507936507936506
2060	32.491819533961326
2070	32.47571853320119
2080	32.47571853320119
2090	32.45963348192174
2100	32.45963348192174
2110	32.45963348192174
2120	32.45963348192174
2130	32.443564356435644
2140	32.443564356435644
2150	32.443564356435644
2160	32.443564356435644
2170	32.443564356435644
2180	32.443564356435644
2190	32.42751113310243
2200	32.42751113310243
2210	32.42751113310243
2220	32.39545229856648
2230	32.39545229856648
2240	32.39545229856648
2250	32.3794466403162
2260	32.3794466403162
2270	32.3794466403162
2280	32.3794466403162
2290	32.3794466403162
2300	32.3794466403162
2310	32.36345679012346
2320	32.34748272458045
2330	32.34748272458045
2340	32.34748272458045
2350	32.34748272458045
2360	32.34748272458045
2370	32.33152442032561
2380	32.33152442032561
