#MCS	AdhesionEnergy
0	21406.0
10	24435.0
20	23945.0
30	24176.0
40	23995.0
50	23681.0
60	24121.0
70	23953.0
80	24199.0
90	23660.0
100	23787.0
110	23516.0
120	23303.0
130	23329.0
140	23446.0
150	23563.0
160	23263.0
170	23529.0
180	23698.0
190	23439.0
200	23177.0
210	23471.0
220	23744.0
230	23775.0
240	23591.0
250	23235.0
260	23757.0
270	23533.0
280	23782.0
290	23456.0
300	23128.0
310	23342.0
320	23471.0
330	23246.0
340	23412.0
350	23472.0
360	23435.0
370	23139.0
380	23200.0
390	23334.0
400	23421.0
410	23394.0
420	23426.0
430	23453.0
440	23203.0
450	23068.0
460	23297.0
470	23131.0
480	23185.0
490	23084.0
500	22914.0
510	23071.0
520	23102.0
530	22957.0
540	23140.0
550	23075.0
560	22920.0
570	23325.0
580	23136.0
590	23267.0
600	23278.0
610	23139.0
620	23159.0
630	23023.0
640	23055.0
650	23325.0
660	23266.0
670	23238.0
680	23282.0
690	23077.0
700	23180.0
710	23324.0
720	23292.0
730	23319.0
740	23021.0
750	22925.0
760	23024.0
770	22935.0
780	22980.0
790	22883.0
800	23242.0
810	22548.0
820	22926.0
830	22735.0
840	22706.0
850	23294.0
860	22879.0
870	23108.0
880	22802.0
890	23260.0
900	22902.0
910	22880.0
920	22976.0
930	22900.0
940	23109.0
950	22948.0
960	23137.0
970	23166.0
980	23040.0
990	22715.0
1000	22725.0
1010	23121.0
1020	23076.0
1030	23069.0
1040	22938.0
1050	22817.0
1060	23250.0
1070	23312.0
1080	22864.0
1090	23383.0
1100	22942.0
1110	23250.0
1120	22826.0
1130	23016.0
1140	23033.0
1150	22862.0
1160	22819.0
1170	22900.0
1180	22923.0
1190	23005.0
1200	23441.0
1210	23204.0
1220	23207.0
1230	22959.0
1240	23223.0
1250	23281.0
1260	22947.0
1270	23166.0
1280	22673.0
1290	23081.0
1300	23223.0
1310	23095.0
1320	22995.0
1330	22851.0
1340	22891.0
1350	23188.0
1360	23131.0
1370	23174.0
1380	23086.0
1390	22975.0
1400	23276.0
1410	23345.0
1420	22862.0
1430	22878.0
1440	23106.0
1450	23009.0
1460	22910.0
1470	22901.0
1480	22808.0
1490	22708.0
1500	22735.0
1510	22916.0
1520	22563.0
1530	23019.0
1540	23080.0
1550	22896.0
1560	22794.0
1570	23182.0
1580	23008.0
1590	22802.0
1600	22980.0
1610	23079.0
1620	23056.0
1630	22863.0
1640	22895.0
1650	22956.0
1660	22830.0
1670	22934.0
1680	22668.0
1690	22765.0
1700	22867.0
1710	22759.0
1720	22909.0
1730	22852.0
1740	22930.0
1750	23060.0
1760	23094.0
1770	22672.0
1780	23035.0
1790	22770.0
1800	23044.0
1810	22742.0
1820	22819.0
1830	22805.0
1840	22797.0
1850	22928.0
1860	22635.0
1870	23310.0
1880	22671.0
1890	22813.0
1900	22769.0
1910	22762.0
1920	22690.0
1930	22828.0
1940	22931.0
1950	22690.0
1960	22632.0
1970	22933.0
1980	23123.0
1990	22870.0
2000	22756.0
2010	22682.0
2020	23052.0
2030	22803.0
2040	22667.0
2050	22334.0
2060	22606.0
2070	22846.0
2080	22634.0
2090	23130.0
2100	22930.0
2110	22868.0
2120	23106.0
2130	23145.0
2140	22939.0
2150	23118.0
2160	22790.0
2170	22561.0
2180	22646.0
2190	22851.0
2200	22776.0
2210	22890.0
2220	23152.0
2230	22637.0
2240	22625.0
2250	22433.0
2260	22504.0
2270	22604.0
2280	22901.0
2290	22868.0
2300	22754.0
2310	23003.0
2320	22950.0
2330	22701.0
2340	22704.0
2350	22825.0
2360	23070.0
2370	22882.0
2380	22775.0
2390	22928.0
2400	22711.0
2410	22728.0
2420	22551.0
2430	22613.0
2440	22687.0
2450	22796.0
2460	22660.0
2470	22769.0
2480	22592.0
2490	22623.0
2500	22787.0
2510	22650.0
2520	22749.0
2530	22569.0
2540	22640.0
2550	22526.0
