#MCS	VS_mean
0	0.39511695655050405
100	0.37871616809116804
200	0.3748094220594221
300	0.3764277574277574
400	0.36410256410256414
500	0.3772905982905983
600	0.3835766178266179
700	0.36677391127391135
800	0.3716470797720798
900	0.36975137362637367
1000	0.376062678062678
1100	0.38388603988603986
1200	0.37029914529914537
1300	0.37079110704110696
1400	0.3808706247456248
1500	0.3771118233618233
1600	0.37574465811965807
1700	0.3855827228327229
1800	0.3760655270655271
1900	0.3840548433048433
2000	0.38950610500610516
2100	0.3687966015466015
2200	0.37432453194953197
2300	0.37000691900691907
2400	0.3767330779054917
2500	0.36431868131868134
2600	0.3797094017094017
2700	0.39426210826210834
2800	0.3715310443069064
2900	0.3812695868945869
3000	0.37498789173789177
3100	0.3742081491305629
3200	0.3740700040700041
3300	0.37501602564102554
3400	0.39098504273504275
3500	0.37576790801790805
3600	0.3730220797720798
3700	0.36554700854700856
3800	0.37445690883190885
3900	0.37535887260887263
4000	0.3734529914529915
4100	0.3689533475783475
4200	0.36924155474155473
4300	0.3847776760276761
4400	0.36717846967846973
4500	0.36323809523809525
4600	0.3703689458689459
4700	0.3696281033781034
4800	0.3773707773707774
4900	0.3710947293447293
5000	0.3826638176638177
5100	0.36685999185999185
5200	0.3785145502645503
5300	0.3662445054945055
5400	0.36970034595034595
5500	0.3882677045177045
5600	0.3858483923483925
5700	0.3790565730565732
5800	0.38962255799755807
5900	0.3762682132682133
6000	0.366724765974766
6100	0.3694935897435897
6200	0.36989316239316233
6300	0.374332264957265
6400	0.3819964387464388
6500	0.3655160765160766
6600	0.37424313186813174
6700	0.36844220594220595
6800	0.3781121286121286
6900	0.3798871082621083
7000	0.38181796906796917
7100	0.3771197598697599
7200	0.382710113960114
7300	0.3834928774928775
7400	0.3664131054131054
7500	0.37142450142450145
7600	0.3844202279202279
7700	0.3803446275946275
7800	0.37378205128205133
7900	0.37644017094017096
8000	0.3797251221001221
8100	0.38233618233618233
8200	0.37926109076109077
8300	0.38587306232414925
8400	0.37831837606837604
8500	0.37409188034188035
8600	0.37296153846153846
8700	0.3778393365893366
8800	0.3808262108262107
8900	0.374775641025641
9000	0.3824446479446479
9100	0.38214133089133095
9200	0.375223544973545
9300	0.37764255189255186
9400	0.3703059625559625
9500	0.3803774928774929
9600	0.37104125966625967
9700	0.37454488232074434
9800	0.3807157610907611
9900	0.3758974358974359
10000	0.37542022792022794
10100	0.37284472934472934
10200	0.37937743498519366
10300	0.38133516483516494
10400	0.38668233618233616
10500	0.37383155270655277
10600	0.3740740740740741
10700	0.36611991249491255
10800	0.3824488196988197
10900	0.3699124949124949
11000	0.37068986568986567
11100	0.3782163207163208
11200	0.3679545966485621
11300	0.38017144892144905
11400	0.3633853276353276
11500	0.3704052706552707
11600	0.366230534152948
11700	0.38512092999593
11800	0.3817571733821735
11900	0.37315659340659346
12000	0.37890990028490024
12100	0.38003703703703706
12200	0.3777525437525438
12300	0.3640797720797721
12400	0.3800602360602361
12500	0.3649766992266992
12600	0.37582804232804234
12700	0.38023219373219375
12800	0.37697792022792026
12900	0.3668817663817664
13000	0.37931247456247463
13100	0.3756324786324786
13200	0.36587352462352474
13300	0.3723625356125355
13400	0.37823127798127804
13500	0.37396096335226775
