#MCS	TotalEnergy
0	23655.0
10	26337.0
20	26508.0
30	26674.0
40	27042.0
50	26857.0
60	26927.0
70	26909.0
80	26851.0
90	27169.0
100	27075.0
110	27063.0
120	26968.0
130	27090.0
140	27051.0
150	26799.0
160	27191.0
170	27081.0
180	27218.0
190	27116.0
200	27323.0
210	26948.0
220	26892.0
230	27412.0
240	27052.0
250	27183.0
260	27075.0
270	26631.0
280	26665.0
290	27022.0
300	27183.0
310	26953.0
320	27239.0
330	26940.0
340	27024.0
350	26647.0
360	26987.0
370	26983.0
380	26649.0
390	26594.0
400	26911.0
410	26597.0
420	26867.0
430	26733.0
440	26935.0
450	26738.0
460	26732.0
470	26719.0
480	26884.0
490	26962.0
500	26621.0
510	26851.0
520	27196.0
530	27163.0
540	26779.0
550	26600.0
560	26795.0
570	26498.0
580	26690.0
590	26912.0
600	26580.0
610	26644.0
620	26895.0
630	26733.0
640	26877.0
650	26629.0
660	26651.0
670	26563.0
680	26611.0
690	26635.0
700	26902.0
710	26786.0
720	26694.0
730	26715.0
740	26683.0
750	26678.0
760	26951.0
770	26584.0
780	26634.0
790	26694.0
800	26774.0
810	26677.0
820	26326.0
830	26379.0
840	26589.0
850	26655.0
860	26665.0
870	26472.0
880	26627.0
890	26318.0
900	26507.0
910	26396.0
920	26709.0
930	26540.0
940	26560.0
950	26663.0
960	26566.0
970	26822.0
980	26460.0
990	26644.0
1000	26486.0
1010	26490.0
1020	26513.0
1030	26721.0
1040	26601.0
1050	26525.0
1060	26649.0
1070	26457.0
1080	26246.0
1090	26520.0
1100	26459.0
1110	26258.0
1120	26262.0
1130	26535.0
1140	26570.0
1150	26848.0
1160	26466.0
1170	26421.0
1180	26709.0
1190	26562.0
1200	26590.0
1210	26655.0
1220	26854.0
1230	26761.0
1240	26689.0
1250	26377.0
1260	26490.0
1270	26336.0
1280	26219.0
1290	26665.0
1300	26472.0
1310	26426.0
1320	26343.0
1330	26596.0
1340	26262.0
1350	26457.0
1360	26484.0
1370	26401.0
1380	26386.0
1390	26603.0
1400	26646.0
1410	26500.0
1420	26486.0
1430	26333.0
1440	26370.0
1450	26468.0
1460	26339.0
1470	26555.0
1480	26211.0
1490	26250.0
1500	26441.0
1510	26367.0
1520	26309.0
1530	26335.0
1540	26576.0
1550	26634.0
1560	26637.0
1570	26277.0
1580	26674.0
1590	26297.0
1600	26563.0
1610	26470.0
1620	26453.0
1630	26237.0
1640	26299.0
1650	26549.0
1660	26596.0
1670	26668.0
1680	26389.0
1690	26615.0
1700	26385.0
1710	26359.0
1720	26417.0
1730	26420.0
1740	26390.0
1750	26303.0
1760	26227.0
1770	26340.0
1780	26264.0
1790	26522.0
1800	26499.0
1810	26610.0
1820	26444.0
1830	26296.0
1840	26712.0
1850	26510.0
1860	26200.0
1870	26258.0
1880	26379.0
1890	26479.0
1900	26521.0
1910	26332.0
1920	26474.0
1930	26479.0
1940	26277.0
1950	26335.0
1960	26442.0
1970	26450.0
1980	26259.0
1990	26308.0
2000	26505.0
2010	26318.0
2020	26180.0
2030	26074.0
2040	26354.0
2050	26351.0
2060	26227.0
2070	26455.0
2080	26246.0
2090	26640.0
2100	26375.0
2110	26289.0
2120	26107.0
2130	26205.0
2140	26296.0
2150	26227.0
2160	26091.0
2170	26250.0
2180	26176.0
2190	26547.0
2200	26414.0
2210	26352.0
2220	26190.0
2230	26350.0
2240	26309.0
2250	26381.0
2260	26197.0
2270	26253.0
2280	26429.0
2290	26231.0
2300	26367.0
2310	26123.0
2320	26547.0
2330	26293.0
2340	26489.0
2350	26371.0
2360	26371.0
2370	26390.0
2380	26235.0
2390	26213.0
2400	26097.0
2410	26192.0
2420	25851.0
2430	26196.0
2440	26211.0
2450	26094.0
2460	26070.0
2470	26419.0
2480	26015.0
2490	26314.0
2500	26278.0
2510	26161.0
2520	26123.0
2530	26251.0
2540	25993.0
2550	26034.0
2560	26287.0
2570	26254.0
2580	25926.0
2590	25868.0
2600	25965.0
2610	25996.0
2620	26063.0
2630	26111.0
2640	26055.0
2650	26126.0
2660	25823.0
2670	25938.0
2680	26296.0
2690	26149.0
2700	26074.0
2710	26171.0
2720	26326.0
2730	26117.0
2740	26087.0
2750	25953.0
2760	26080.0
2770	25824.0
2780	25986.0
2790	26033.0
2800	25623.0
2810	25897.0
2820	25717.0
2830	26169.0
2840	26253.0
2850	26451.0
2860	26107.0
2870	26190.0
2880	26298.0
2890	25955.0
2900	25968.0
2910	25778.0
2920	26069.0
2930	26059.0
2940	26041.0
2950	25965.0
2960	25757.0
2970	26084.0
2980	25998.0
2990	26298.0
3000	26052.0
3010	26112.0
3020	25822.0
3030	26130.0
3040	25906.0
3050	25904.0
3060	25920.0
3070	26252.0
3080	25988.0
3090	26040.0
3100	26034.0
3110	26136.0
3120	25964.0
3130	26236.0
3140	26050.0
3150	26152.0
3160	25996.0
3170	26024.0
3180	26236.0
3190	26076.0
3200	26134.0
3210	26148.0
3220	26024.0
3230	26352.0
3240	25936.0
3250	25944.0
3260	26256.0
3270	26222.0
3280	26230.0
3290	26248.0
3300	26128.0
3310	25948.0
3320	26100.0
3330	26276.0
3340	25976.0
3350	26074.0
3360	26018.0
3370	25992.0
3380	26516.0
3390	26110.0
3400	26382.0
3410	26158.0
3420	26098.0
3430	26144.0
3440	26184.0
3450	26252.0
3460	26042.0
3470	25882.0
3480	25942.0
3490	26090.0
3500	26124.0
3510	26064.0
3520	25862.0
3530	25836.0
3540	25976.0
3550	26048.0
3560	25894.0
3570	26006.0
3580	26048.0
3590	26046.0
3600	26138.0
3610	25770.0
3620	25826.0
3630	26060.0
3640	26080.0
3650	26016.0
3660	25871.0
3670	25920.0
3680	25774.0
3690	26094.0
3700	25930.0
3710	26324.0
3720	25842.0
3730	25878.0
3740	26086.0
3750	25816.0
3760	25996.0
3770	25956.0
3780	26004.0
3790	25632.0
3800	25534.0
3810	25954.0
3820	25524.0
3830	25924.0
3840	25694.0
3850	25654.0
3860	25766.0
3870	25814.0
3880	25756.0
3890	25496.0
3900	25894.0
3910	26254.0
3920	25724.0
3930	25736.0
3940	25652.0
3950	25756.0
3960	25728.0
3970	25680.0
3980	25853.0
3990	25870.0
4000	25970.0
4010	25962.0
4020	26044.0
4030	25710.0
4040	25778.0
4050	25522.0
4060	25946.0
4070	25632.0
4080	25822.0
4090	25836.0
4100	25952.0
4110	25952.0
4120	25692.0
4130	25872.0
4140	25928.0
4150	25836.0
4160	25956.0
4170	25638.0
4180	25894.0
4190	25970.0
4200	25980.0
4210	26082.0
4220	25644.0
4230	25678.0
4240	25682.0
4250	26042.0
4260	25680.0
4270	26118.0
4280	25512.0
4290	25658.0
4300	25928.0
4310	25802.0
4320	25734.0
4330	25750.0
4340	25824.0
4350	25656.0
4360	25986.0
4370	25794.0
4380	25448.0
4390	25806.0
4400	25790.0
4410	25928.0
4420	25556.0
4430	25736.0
4440	25852.0
4450	25848.0
4460	26032.0
4470	25798.0
4480	26042.0
4490	26036.0
4500	25952.0
4510	25804.0
4520	25860.0
4530	25994.0
4540	25818.0
4550	25962.0
4560	25858.0
4570	25704.0
4580	25824.0
4590	25800.0
4600	25984.0
4610	25944.0
4620	25860.0
4630	26230.0
4640	25986.0
4650	25822.0
4660	26000.0
4670	25818.0
4680	26078.0
4690	25880.0
4700	25654.0
4710	26006.0
4720	25898.0
4730	25930.0
4740	25844.0
4750	26046.0
4760	26010.0
4770	26086.0
4780	25976.0
4790	25872.0
4800	26178.0
4810	26146.0
4820	25964.0
4830	26038.0
4840	25820.0
4850	26250.0
4860	25786.0
4870	26274.0
4880	26226.0
4890	26102.0
4900	26114.0
4910	26062.0
4920	26008.0
4930	25976.0
4940	26062.0
4950	25632.0
4960	25870.0
4970	26126.0
4980	25818.0
4990	25884.0
5000	25714.0
5010	25750.0
5020	26218.0
5030	25952.0
5040	25724.0
5050	25916.0
5060	25966.0
5070	26114.0
5080	26100.0
5090	26052.0
5100	26040.0
5110	26188.0
5120	25838.0
5130	25830.0
5140	25746.0
5150	25870.0
5160	26150.0
5170	26032.0
5180	26008.0
5190	25912.0
5200	25814.0
5210	25884.0
5220	25910.0
5230	25760.0
5240	25730.0
5250	25978.0
5260	25868.0
5270	25934.0
5280	25902.0
5290	25982.0
5300	25994.0
5310	25866.0
5320	26024.0
5330	25661.0
5340	25832.0
5350	25790.0
5360	25584.0
5370	25744.0
5380	26036.0
5390	26202.0
5400	25812.0
5410	25962.0
5420	25728.0
5430	26044.0
5440	25732.0
5450	25794.0
5460	25770.0
5470	25896.0
5480	25844.0
5490	26010.0
5500	25906.0
5510	25992.0
5520	26286.0
5530	25940.0
5540	25892.0
5550	25590.0
5560	25720.0
5570	25884.0
5580	26066.0
5590	26048.0
5600	26100.0
5610	26028.0
5620	26040.0
5630	25888.0
5640	26054.0
5650	26094.0
5660	25860.0
5670	25934.0
5680	25954.0
5690	25796.0
5700	25990.0
5710	25946.0
5720	25734.0
5730	25836.0
5740	25664.0
5750	25692.0
5760	25752.0
5770	25818.0
5780	25642.0
5790	25722.0
5800	25934.0
5810	26098.0
5820	26146.0
5830	25938.0
