#MCS	TotalEnergy
0	24437.0
10	25457.0
20	25680.0
30	25839.0
40	25908.0
50	26037.0
60	26062.0
70	26109.0
80	26085.0
90	26121.0
100	26134.0
110	26098.0
120	26169.0
130	26143.0
140	26100.0
150	26151.0
160	26064.0
170	26115.0
180	26188.0
190	26115.0
200	26224.0
210	26258.0
220	26205.0
230	26193.0
240	26258.0
250	26266.0
260	26260.0
270	26182.0
280	26141.0
290	26283.0
300	26325.0
310	26365.0
320	26426.0
330	26315.0
340	26420.0
350	26455.0
360	26545.0
370	26370.0
380	26364.0
390	26406.0
400	26446.0
410	26398.0
420	26406.0
430	26282.0
440	26396.0
450	26412.0
460	26343.0
470	26450.0
480	26366.0
490	26468.0
500	26485.0
510	26343.0
520	26370.0
530	26353.0
540	26390.0
550	26455.0
560	26401.0
570	26435.0
580	26359.0
590	26452.0
600	26372.0
610	26501.0
620	26484.0
630	26408.0
640	26437.0
650	26602.0
660	26500.0
670	26447.0
680	26479.0
690	26393.0
700	26439.0
710	26382.0
720	26397.0
730	26416.0
740	26459.0
750	26470.0
760	26478.0
770	26453.0
780	26446.0
790	26556.0
800	26600.0
810	26722.0
820	26743.0
830	26675.0
840	26603.0
850	26649.0
860	26677.0
870	26648.0
880	26536.0
890	26689.0
900	26617.0
910	26617.0
920	26641.0
930	26627.0
940	26647.0
950	26495.0
960	26719.0
970	26641.0
980	26689.0
990	26643.0
1000	26569.0
1010	26610.0
1020	26570.0
1030	26617.0
1040	26745.0
1050	26635.0
1060	26870.0
1070	26760.0
1080	26837.0
1090	26683.0
1100	26648.0
1110	26628.0
1120	26632.0
1130	26738.0
1140	26724.0
1150	26844.0
1160	26916.0
1170	26764.0
1180	26763.0
1190	26672.0
1200	26886.0
1210	26790.0
1220	26744.0
1230	26849.0
1240	26834.0
1250	26858.0
1260	26844.0
1270	26829.0
1280	26800.0
1290	26766.0
1300	26747.0
1310	26755.0
1320	26894.0
1330	26755.0
1340	26839.0
1350	26928.0
1360	26890.0
1370	26800.0
1380	26745.0
1390	26951.0
1400	26957.0
1410	26865.0
1420	26885.0
1430	26963.0
1440	26894.0
1450	26834.0
1460	26859.0
1470	27022.0
1480	26838.0
1490	27010.0
1500	26981.0
1510	26991.0
1520	26972.0
1530	27011.0
1540	26898.0
1550	26888.0
1560	26943.0
1570	26944.0
1580	26958.0
1590	26922.0
1600	27025.0
1610	26950.0
1620	26844.0
1630	26855.0
1640	26984.0
1650	26942.0
1660	27005.0
1670	26935.0
1680	26929.0
1690	27017.0
1700	26890.0
1710	26941.0
1720	26958.0
1730	26972.0
1740	26814.0
1750	26972.0
1760	26992.0
1770	26998.0
1780	26854.0
1790	26922.0
1800	26799.0
1810	26920.0
1820	26895.0
1830	26838.0
1840	27003.0
1850	26876.0
1860	26821.0
1870	26803.0
1880	27051.0
1890	26969.0
1900	26936.0
1910	26965.0
1920	26980.0
1930	27057.0
1940	26881.0
1950	27024.0
1960	26947.0
1970	26905.0
1980	26978.0
1990	26966.0
2000	26933.0
2010	26896.0
2020	26922.0
2030	26940.0
2040	26972.0
2050	27117.0
2060	27104.0
2070	27089.0
2080	27013.0
2090	27002.0
2100	26968.0
2110	27008.0
2120	26972.0
2130	26987.0
2140	26927.0
2150	26968.0
2160	27032.0
2170	27014.0
2180	27110.0
2190	26988.0
2200	26961.0
2210	26975.0
2220	27019.0
2230	27056.0
2240	26981.0
2250	26972.0
2260	27066.0
2270	27048.0
2280	27021.0
2290	27052.0
2300	26988.0
