#MCS	VolumeEnergy
4100	1668.0
4110	1748.0
4120	1738.0
4130	1730.0
4140	1828.0
4150	1712.0
4160	2006.0
4170	1668.0
4180	1894.0
4190	1904.0
4200	1808.0
4210	1944.0
4220	1436.0
4230	1562.0
4240	1748.0
4250	1658.0
4260	1532.0
4270	1680.0
4280	1756.0
4290	1736.0
4300	1606.0
4310	1820.0
4320	1924.0
4330	1712.0
4340	1694.0
4350	1838.0
4360	1560.0
4370	1822.0
4380	1434.0
4390	1504.0
4400	1804.0
4410	1690.0
4420	1822.0
4430	1830.0
4440	1984.0
4450	1640.0
4460	1800.0
4470	1792.0
4480	1520.0
4490	1972.0
4500	1992.0
4510	1836.0
4520	1672.0
4530	1708.0
4540	1618.0
4550	1612.0
4560	1564.0
4570	1822.0
4580	1456.0
4590	1804.0
4600	1430.0
4610	1752.0
4620	1710.0
4630	1476.0
4640	1650.0
4650	1494.0
4660	1652.0
4670	1676.0
4680	1708.0
4690	1568.0
4700	1872.0
4710	1532.0
4720	1676.0
4730	1608.0
4740	1822.0
4750	1500.0
4760	1600.0
4770	1786.0
4780	1944.0
4790	1754.0
4800	1642.0
4810	2132.0
4820	1688.0
4830	1744.0
4840	1806.0
4850	1798.0
4860	1638.0
4870	1846.0
4880	1510.0
4890	1824.0
4900	2020.0
4910	1776.0
4920	1790.0
4930	1960.0
4940	1728.0
4950	1652.0
4960	1802.0
4970	1602.0
4980	1784.0
4990	1824.0
5000	1736.0
5010	1554.0
5020	1776.0
5030	2296.0
5040	1812.0
5050	1652.0
5060	1998.0
5070	1774.0
5080	1794.0
5090	1594.0
5100	1686.0
5110	1572.0
5120	1844.0
5130	1724.0
5140	1994.0
5150	1930.0
5160	1498.0
5170	1710.0
5180	1648.0
5190	1852.0
5200	1598.0
5210	1648.0
5220	1652.0
5230	1830.0
5240	1580.0
5250	1696.0
5260	1650.0
5270	1748.0
5280	1902.0
5290	1828.0
5300	1718.0
5310	1732.0
5320	2012.0
5330	1544.0
5340	1698.0
5350	1690.0
5360	1940.0
5370	1694.0
5380	1358.0
5390	1492.0
5400	1656.0
5410	1736.0
5420	1472.0
5430	1564.0
5440	1596.0
5450	2002.0
5460	1644.0
5470	1778.0
5480	2064.0
5490	1906.0
5500	1858.0
5510	1838.0
5520	1626.0
5530	1576.0
5540	1926.0
5550	1956.0
5560	1716.0
5570	1644.0
5580	1702.0
5590	1916.0
5600	1780.0
5610	1656.0
5620	1458.0
5630	1648.0
5640	1648.0
5650	1548.0
5660	1754.0
5670	1712.0
5680	1490.0
5690	1792.0
5700	1530.0
5710	1624.0
