#MCS	Mean_Volume
0	5.0
10	26.0
20	29.0
30	31.0
40	33.0
50	34.0
60	37.0
70	39.0
80	41.0
90	43.0
100	45.0
110	47.0
120	49.0
130	25.5
140	26.5
150	29.0
160	31.0
170	33.5
180	35.0
190	37.0
200	39.0
210	41.5
220	43.0
230	45.5
240	47.0
250	49.5
260	26.25
270	28.25
280	30.25
290	31.75
300	34.25
310	35.75
320	38.25
330	40.25
340	42.0
350	43.75
360	46.25
370	48.0
380	40.2
390	26.5
400	28.75
410	30.5
420	32.625
430	34.75
440	36.75
450	38.875
460	40.875
470	43.0
480	44.5
490	46.625
500	48.75
510	28.928571428571427
520	26.9375
530	29.375
540	31.5
550	33.375
560	35.1875
570	37.125
580	39.3125
590	41.25
600	43.125
610	45.3125
620	47.0625
630	49.1875
640	25.4375
650	27.40625
660	29.5625
670	31.53125
680	33.53125
690	35.71875
700	37.53125
710	39.625
720	41.71875
730	43.75
740	45.71875
750	47.75
760	46.73529411764706
770	26.0
780	27.75
790	29.59375
800	31.78125
810	33.703125
820	35.921875
830	37.921875
840	39.953125
850	41.96875
860	44.015625
870	45.953125
880	47.96875
890	36.38636363636363
900	26.31496062992126
910	27.828125
920	29.6796875
930	31.78125
940	33.875
950	35.8671875
960	37.8203125
970	40.0
980	42.0
990	44.0625
1000	46.03125
1010	48.0546875
1020	33.93617021276596
1030	26.094117647058823
1040	27.52734375
1050	29.19921875
1060	31.0546875
1070	33.05078125
1080	35.01171875
1090	36.99609375
1100	39.12109375
1110	41.19140625
1120	43.296875
1130	45.234375
1140	47.17120622568093
1150	36.56231884057971
1160	29.614864864864863
1170	26.869140625
1180	28.220703125
1190	29.75390625
1200	31.453125
1210	33.251953125
1220	35.2734375
1230	37.255859375
1240	39.24609375
1250	41.263671875
1260	43.36328125
1270	44.41984732824427
1280	38.4310618066561
1290	34.636986301369866
1300	31.621103117505996
1310	26.870967741935484
1320	28.080078125
1330	29.40234375
1340	30.810546875
1350	32.2841796875
1360	33.9013671875
1370	35.580078125
1380	37.3349609375
1390	39.189453125
1400	39.74361400189215
1410	37.447863247863246
1420	36.48964968152866
1430	35.48590504451039
1440	34.58310249307479
1450	32.84270372710044
1460	32.12597014925373
1470	28.8765625
1480	27.80810546875
1490	28.49951171875
1500	29.1396484375
1510	29.765625
1520	30.349609375
1530	30.755836575875488
1540	31.002899951667473
1550	31.26615236258438
1560	31.501446480231436
1570	31.59884281581485
1580	31.59884281581485
1590	31.59884281581485
1600	31.59884281581485
1610	31.59884281581485
1620	31.59884281581485
1630	31.59884281581485
1640	31.59884281581485
1650	31.59884281581485
1660	31.59884281581485
1670	31.59884281581485
1680	31.59884281581485
1690	31.59884281581485
1700	31.59884281581485
1710	31.59884281581485
1720	31.59884281581485
1730	31.59884281581485
1740	31.59884281581485
1750	31.59884281581485
1760	31.59884281581485
1770	31.59884281581485
1780	31.59884281581485
1790	31.59884281581485
1800	31.59884281581485
1810	31.59884281581485
1820	31.59884281581485
1830	31.59884281581485
1840	31.59884281581485
1850	31.59884281581485
1860	31.59884281581485
1870	31.59884281581485
1880	31.59884281581485
1890	31.59884281581485
1900	31.59884281581485
1910	31.59884281581485
1920	31.59884281581485
1930	31.59884281581485
1940	31.59884281581485
1950	31.59884281581485
1960	31.59884281581485
1970	31.59884281581485
1980	31.59884281581485
1990	31.59884281581485
