#MCS	Mean_Pressure
0	808.0000305175781
10	48.000335693359375
20	8.000640869140625
30	8.000946044921875
40	8.001251220703125
50	48.001556396484375
60	8.001861572265625
70	8.002166748046875
80	8.002471923828125
90	8.002777099609375
100	8.003082275390625
110	8.003387451171875
120	8.003692626953125
130	4.0019989013671875
140	44.00230407714844
150	24.002609252929688
160	24.002914428710938
170	4.003143310546875
180	24.003448486328125
190	24.003753662109375
200	24.004058837890625
210	4.004364013671875
220	24.004669189453125
230	4.004974365234375
240	24.005279541015625
250	4.005584716796875
260	6.0030364990234375
270	6.0033416748046875
280	6.0036468505859375
290	26.003952026367188
300	6.0042572021484375
310	26.004562377929688
320	6.0048675537109375
330	6.0051727294921875
340	16.005477905273438
350	26.005783081054688
360	6.0060882568359375
370	16.006393432617188
380	4.80535888671875
390	23.00363540649414
400	13.00394058227539
410	23.00424575805664
420	18.004531860351562
430	13.004837036132812
440	13.005142211914062
450	8.005447387695312
460	8.005752563476562
470	3.0060577392578125
480	23.006362915039062
490	18.006668090820312
500	13.006973266601562
510	17.718473161969865
520	29.003963470458984
530	11.504268646240234
540	6.504573822021484
550	11.504840850830078
560	19.005146026611328
570	21.505451202392578
580	14.005756378173828
590	16.506061553955078
600	21.506366729736328
610	14.006671905517578
620	24.006977081298828
630	19.007282257080078
640	30.503849983215332
650	31.754155158996582
660	25.504460334777832
670	26.75473690032959
680	26.755027770996094
690	19.255332946777344
700	26.755638122558594
710	23.005943298339844
720	19.256248474121094
730	18.006553649902344
740	19.256858825683594
750	18.007164001464844
760	20.477618049172793
770	30.003986358642578
780	40.00429153442383
790	46.25459671020508
800	38.754849433898926
810	41.880154609680176
820	33.130459785461426
830	33.130764961242676
840	31.881070137023926
850	31.256375312805176
860	29.381680488586426
870	31.881985664367676
880	31.257290840148926
890	22.278256849809125
900	44.16158961498831
910	54.94188189506531
920	60.87968707084656
930	56.817448139190674
940	53.067753314971924
950	53.380558490753174
960	55.255863666534424
970	48.068668842315674
980	48.068974018096924
990	45.569279193878174
1000	46.819584369659424
1010	45.882389545440674
1020	42.47334500576587
1030	57.66688747032016
1040	75.97318112850189
1050	89.09847974777222
1060	94.88000392913818
1070	95.03655910491943
1080	96.59936428070068
1090	97.22466945648193
1100	92.22497463226318
1110	89.41277980804443
1120	85.19433498382568
1130	87.69464015960693
1140	82.52881714342169
1150	71.26375015922214
1160	77.39214579264323
1170	96.47316962480545
1180	122.41096526384354
1190	141.08312159776688
1200	153.11467289924622
1210	161.16185307502747
1220	160.30278325080872
1230	161.00621342658997
1240	161.39714360237122
1250	160.69432377815247
1260	156.71025395393372
1270	149.39657720900675
1280	135.2582916404857
1290	133.9454621615475
1300	140.5232941332481
1310	141.5021451500737
1320	171.94237619638443
1330	199.0520417690277
1340	222.72422075271606
1350	243.77921342849731
1360	259.09201860427856
1370	271.9438862800598
1380	281.74887895584106
1390	287.5694966316223
1400	285.4564606838894
1410	272.4579652965578
1420	266.3950537420382
1430	265.59687119209445
1440	266.89819631814294
1450	267.9326889414013
1460	287.47100392811336
1470	290.1512794494629
1480	321.2749254703522
1490	373.6189766228199
1500	428.01381304860115
1510	482.9750557243824
1520	539.6159859001637
1530	596.2792628841178
1540	654.6383729679335
1550	719.502134185173
1560	790.0906745815001
1570	866.1951255982269
1580	946.1954307740082
1590	1026.1957352140716
1600	1106.1959301793127
1610	1186.195921056411
1620	1266.1956934252953
1630	1346.1952050557593
1640	1426.1944535935052
1650	1506.1932877749348
1660	1586.19210532914
1670	1666.1909228833456
1680	1746.1897404375509
1690	1826.1885579917562
1700	1906.1873755459615
1710	1986.186193100167
1720	2066.185010360085
1730	2146.183806872759
1740	2226.182586169634
1750	2306.181365466509
1760	2386.180144763384
1770	2466.178924060259
1780	2546.177703357134
1790	2626.176482654009
1800	2706.175261950884
1810	2786.174041247759
1820	2866.172820544634
1830	2946.171599841509
1840	3026.170379138384
1850	3106.169158435259
1860	3186.167937732134
1870	3266.166717029009
1880	3346.165496325884
1890	3426.164275622759
1900	3506.163054919634
1910	3586.1618350993704
1920	3666.1606302877517
1930	3746.1594242989845
1940	3826.1582259616835
1950	3906.1570226215003
1960	3986.155836938547
1970	4066.1546294783443
1980	4146.153408775219
1990	4226.152188072094
