#MCS	Volume_Energy
0	8160.80061645509
10	28.800402833439875
20	0.8001281789620407
30	0.8001892201718874
40	0.8002502637100406
50	28.801867706060875
60	0.8003723577712663
70	0.8004334082943387
80	0.8004944611457177
90	0.800555516325403
100	0.8006165738333948
110	0.800677633669693
120	0.8007386958342977
130	10.400399880163604
140	58.40506910244585
150	14.403131273720646
160	14.403497526800493
170	10.400628909119405
180	14.404138480895199
190	14.40450474678073
200	14.404871017322876
210	10.400873278849758
220	14.405603572377004
230	10.400995491654612
240	14.406336146057583
250	10.401117723085918
260	13.601813205168582
270	45.60196589038242
280	13.602179620065726
290	53.61029741179664
300	13.602546072215773
310	45.61185406812001
320	13.602912561618723
330	21.60312633786816
340	13.608772252337076
350	45.615028527681716
360	13.603645652183332
370	61.61026815709192
380	21.105690438416786
390	84.41670511805569
400	40.41023562269402
410	84.4195132162713
420	86.41628623357974
430	44.412532857386395
440	76.413296101382
450	18.408718787832186
460	42.40914637572132
470	64.40365357208066
480	92.4293497519102
490	74.42400957341306
500	44.418089579558
510	130.47970610612538
520	260.4460419603856
530	87.41964475775603
540	79.41178702109028
550	87.42236949445214
560	158.43909373681527
570	181.4467848133063
580	102.4322286125971
590	131.43998079875018
600	193.45478258270305
610	100.43723577109631
620	176.46693020767998
630	116.45536491589155
640	601.4939973999572
650	635.0055492804677
660	483.4913901759137
670	470.00132847970235
680	447.00790806207806
690	392.98245766665787
700	436.020605978556
710	411.50901071261615
720	273.996164300479
730	398.4942737733945
740	379.0057195024565
750	263.5029135970399
760	357.3681713726546
770	1214.6907571147312
780	1844.2744993700762
790	2112.8400990742375
800	1639.3009583762614
810	1865.0953333772486
820	1595.0396413885755
830	1382.055482752039
840	1176.5592698211549
850	1187.8188858967042
860	1103.5636705782963
870	1275.1061849010875
880	1174.8647943435935
890	1662.1056987138581
900	4251.519853962964
910	6589.843331832817
920	7913.860914386023
930	7083.7228745321045
940	5941.715524776955
950	5880.14793362061
960	6293.735372059164
970	5263.023189213709
980	5159.819093824481
990	4929.561318313354
1000	4834.384872445953
1010	4772.784324093373
1020	7762.732638386515
1030	13433.57346544668
1040	24109.379032478755
1050	32876.419520174386
1060	36688.31998944166
1070	37441.321769532515
1080	38963.18738078582
1090	38915.651442342205
1100	35518.26763462159
1110	32413.582649518503
1120	31082.259328829823
1130	32035.165134713752
1140	28916.15950878695
1150	31238.797369804088
1160	42299.00230808329
1170	72527.67198081434
1180	120112.2040370079
1190	162901.59374968207
1200	192674.93709146394
1210	213453.51081270608
1220	214079.04162742547
1230	216974.94048532913
1240	219882.44273797958
1250	215069.29893469322
1260	204878.53443557746
1270	195648.88558954984
1280	201165.44145330752
1290	222006.69346705824
1300	260264.83506756736
1310	294813.3232147678
1320	444678.44785907737
1330	618181.0786679322
1340	794537.3816742562
1350	959406.6050763391
1360	1098204.942860687
1370	1212711.1259538205
1380	1310691.464322776
1390	1372376.6906946045
1400	1423214.0404809588
1410	1482126.4015826872
1420	1549344.4008670393
1430	1621864.1289442526
1440	1715707.0160751678
1450	1824884.0260332904
1460	2085415.9247802591
1470	2266011.634796432
1480	2840303.2967064814
1490	3835977.052460544
1500	5009287.810913727
1510	6355509.782903147
1520	7895863.572829459
1530	9646374.658450654
1540	11646437.626064148
1550	13955623.198442467
1560	16639012.071852399
1570	19784392.00410046
1580	23433759.212726314
1590	27459785.857791666
1600	31840257.01056837
1610	36567171.5856654
1620	41632129.07066821
1630	47035958.74226734
1640	52774557.43751555
1650	58849426.87633415
1660	65256308.83834344
1670	71997482.61408773
1680	79071137.22502089
1690	86477045.4760133
1700	94217136.64517233
1710	102287458.80393955
1720	110691150.05027178
1730	119426809.98883747
1740	128494782.70661265
1750	137893176.10653287
1760	147625395.97289988
1770	157688586.72496456
1780	168083508.3087097
1790	178811347.9021772
1800	189870297.0321587
1810	201260005.19725204
1820	212983632.30712423
1830	225037900.70979857
1840	237424033.46466327
1850	250141968.0817866
1860	263191330.77119192
1870	276574718.02549344
1880	290288075.9887951
1890	304333483.437344
1900	318711264.69486636
1910	333420763.274425
1920	348461279.2925079
1930	363834732.93139386
1940	379539696.2950945
1950	395575454.4645497
1960	411944507.6714811
1970	428643828.19037837
1980	445676991.4666398
1990	463040010.5166027
