#MCS	TotalEnergy
4100	22921.0
4110	22349.0
4120	22677.0
4130	22682.0
4140	22440.0
4150	22854.0
4160	22366.0
4170	22806.0
4180	22570.0
4190	22346.0
4200	22500.0
4210	22363.0
4220	22650.0
4230	22616.0
4240	22579.0
4250	22480.0
4260	22401.0
4270	22195.0
4280	22161.0
4290	22636.0
4300	22604.0
4310	22446.0
4320	23067.0
4330	22656.0
4340	22142.0
4350	22343.0
4360	22762.0
4370	22539.0
4380	22164.0
4390	22322.0
4400	22523.0
4410	22468.0
4420	22484.0
4430	22636.0
4440	22886.0
4450	22555.0
4460	22575.0
4470	22356.0
4480	22331.0
4490	22576.0
4500	22464.0
4510	22689.0
4520	22028.0
4530	22468.0
4540	22442.0
4550	21949.0
4560	22489.0
4570	22447.0
4580	22858.0
4590	22591.0
4600	22241.0
4610	22411.0
4620	22483.0
4630	22457.0
4640	22512.0
4650	22514.0
4660	22437.0
4670	22408.0
4680	22305.0
4690	22438.0
4700	22901.0
4710	22534.0
4720	22665.0
4730	22647.0
4740	22882.0
4750	22754.0
4760	22745.0
4770	22433.0
4780	22516.0
4790	22360.0
4800	22917.0
4810	22538.0
4820	22372.0
4830	22881.0
4840	23024.0
4850	22572.0
4860	22489.0
4870	22394.0
4880	22513.0
4890	22490.0
4900	22595.0
4910	22506.0
4920	22569.0
4930	22769.0
4940	22463.0
4950	22622.0
4960	22597.0
4970	22620.0
4980	22375.0
4990	22666.0
5000	22520.0
5010	23064.0
5020	22476.0
5030	22268.0
5040	22540.0
5050	22682.0
5060	22404.0
5070	22334.0
5080	22702.0
5090	22639.0
5100	22600.0
5110	22678.0
5120	22868.0
5130	22297.0
5140	22484.0
5150	22270.0
5160	22506.0
5170	22607.0
5180	22218.0
5190	22770.0
5200	21913.0
5210	22781.0
5220	22522.0
5230	22719.0
5240	22399.0
5250	22488.0
5260	22306.0
5270	22381.0
5280	22712.0
5290	22337.0
5300	22668.0
5310	22253.0
5320	22567.0
5330	22306.0
5340	22693.0
5350	22485.0
5360	22595.0
5370	22000.0
5380	22777.0
5390	22467.0
5400	22544.0
5410	22098.0
5420	22796.0
5430	22468.0
5440	22245.0
5450	22361.0
5460	22194.0
5470	22476.0
5480	22445.0
5490	22505.0
5500	22350.0
5510	22622.0
5520	22411.0
5530	22707.0
5540	22371.0
5550	22449.0
5560	22552.0
5570	22644.0
5580	22512.0
5590	22568.0
5600	22498.0
5610	22579.0
5620	22463.0
5630	22741.0
5640	22364.0
5650	22755.0
5660	22472.0
5670	22647.0
5680	22642.0
5690	22277.0
5700	22714.0
5710	22450.0
5720	22482.0
5730	22602.0
5740	23182.0
5750	22524.0
5760	22607.0
5770	22517.0
5780	22608.0
5790	22728.0
5800	22799.0
5810	22783.0
5820	22406.0
5830	22264.0
5840	22621.0
5850	22386.0
5860	22979.0
5870	22499.0
5880	22815.0
5890	22690.0
5900	22562.0
5910	22525.0
5920	22698.0
5930	22504.0
5940	22616.0
5950	22325.0
5960	22610.0
5970	22321.0
5980	22328.0
5990	22714.0
6000	22577.0
6010	22282.0
6020	22789.0
6030	22470.0
6040	22389.0
6050	22444.0
6060	22666.0
6070	22775.0
6080	22483.0
6090	22471.0
6100	22609.0
6110	22238.0
6120	22640.0
6130	22602.0
6140	22569.0
6150	22593.0
6160	22472.0
6170	22566.0
6180	22545.0
6190	22842.0
6200	22534.0
6210	22198.0
6220	22796.0
6230	22582.0
6240	22300.0
6250	22223.0
6260	22335.0
6270	22469.0
6280	22488.0
6290	22759.0
6300	22577.0
6310	22687.0
6320	23049.0
6330	22379.0
6340	22396.0
6350	22627.0
6360	22522.0
6370	22727.0
6380	22676.0
6390	22510.0
6400	22387.0
6410	22149.0
6420	22501.0
6430	22428.0
6440	22856.0
6450	22545.0
6460	22140.0
6470	22553.0
6480	22480.0
6490	22627.0
6500	22970.0
6510	22473.0
6520	22784.0
6530	22698.0
6540	22938.0
6550	22486.0
6560	22408.0
6570	22787.0
6580	22374.0
6590	22246.0
6600	22489.0
6610	22251.0
6620	22379.0
6630	22195.0
6640	22201.0
6650	22300.0
6660	22272.0
6670	22075.0
6680	22455.0
6690	22327.0
6700	22833.0
6710	22342.0
6720	22321.0
6730	22275.0
6740	22764.0
6750	22969.0
6760	22857.0
6770	22693.0
6780	22784.0
6790	22332.0
6800	22399.0
6810	22913.0
6820	22600.0
6830	22437.0
6840	22598.0
6850	22549.0
6860	22560.0
6870	22644.0
6880	23100.0
6890	22833.0
6900	22496.0
6910	22478.0
6920	22875.0
6930	22311.0
6940	22318.0
6950	22163.0
6960	22504.0
6970	22660.0
6980	23004.0
6990	22738.0
7000	22497.0
7010	22322.0
7020	22318.0
7030	22767.0
7040	22140.0
7050	22613.0
7060	22764.0
7070	22644.0
7080	22917.0
7090	22699.0
