#MCS	VS_mean
0	0.4051216606573866
100	0.38022181522181525
200	0.37937606837606835
300	0.3795617623117623
400	0.38187524735800604
500	0.3713660968660969
600	0.3673746438746438
700	0.39294366583497026
800	0.3701322751322751
900	0.37384513634513633
1000	0.3807044159544159
1100	0.37842521367521365
1200	0.36245505452402005
1300	0.3814017094017094
1400	0.3865231990231991
1500	0.37684228734228736
1600	0.37400712250712254
1700	0.3825057997557998
1800	0.3820723443223443
1900	0.37414641839641843
2000	0.37890883190883196
2100	0.38111238298738304
2200	0.3839801034311904
2300	0.3868088115588116
2400	0.3847112332112333
2500	0.370436914936915
2600	0.3788650793650794
2700	0.38215226902726906
2800	0.37207646520146526
2900	0.36897349409849406
3000	0.37409259259259253
3100	0.3746417378917378
3200	0.38116951566951573
3300	0.3722066500327369
3400	0.3747352971102972
3500	0.3889943019943021
3600	0.3721809116809117
3700	0.37569515669515674
3800	0.39140598290598294
3900	0.3774334554334554
4000	0.38365053927553927
4100	0.3719807692307693
4200	0.3773632478632478
4300	0.393603021978022
4400	0.38217338217338215
4500	0.36920960520960516
4600	0.3789243996743997
4700	0.37694586894586884
4800	0.37973646723646726
4900	0.37305056278332144
5000	0.3638588217338216
5100	0.3837878001628002
5200	0.37063492063492054
5300	0.36280601343101343
5400	0.3808386752136753
5500	0.3813789173789173
5600	0.37917124542124536
5700	0.36599864567105944
5800	0.3714440374440374
5900	0.37105056980056983
6000	0.37934544159544165
6100	0.3847967541717543
6200	0.38168518518518524
6300	0.37086039886039884
6400	0.3624496336996336
6500	0.38036324786324793
6600	0.37879319291819297
6700	0.3697910052910053
6800	0.3787159137159137
6900	0.3753364875864876
7000	0.36993447293447296
7100	0.3727873931623932
7200	0.38606883394383396
7300	0.377085063085063
7400	0.38880448717948723
7500	0.37602528490028486
7600	0.3903931623931624
7700	0.3779123931623932
7800	0.3719714082214083
7900	0.3750135327635328
8000	0.36501485551485546
8100	0.3901510989010989
8200	0.37076068376068383
8300	0.36146652421652425
8400	0.38265954415954423
8500	0.36782000407000404
8600	0.3733066748066749
8700	0.36718203093203095
8800	0.37703708791208795
8900	0.3829208118773336
9000	0.3745118605227301
9100	0.3775338319088319
9200	0.38353235653235657
9300	0.3741447588171726
9400	0.3765099715099715
9500	0.37957437932437943
9600	0.36955993080993077
9700	0.37741900691900687
9800	0.3765295584045584
9900	0.37725071225071233
10000	0.3803767297517298
10100	0.3756371082621083
10200	0.37257336182336176
10300	0.365240638990639
10400	0.3708753666512288
10500	0.3763251933251933
10600	0.3726823361823362
10700	0.369894586894587
10800	0.38888614163614166
10900	0.3788992165242165
11000	0.3915564713064713
11100	0.38340090867264787
11200	0.38139183964183965
11300	0.3597281237281237
11400	0.3818867521367522
11500	0.37405453805453814
11600	0.36938563288563286
11700	0.37170614570614574
11800	0.3784900284900285
11900	0.38052111314611314
12000	0.38694159544159545
12100	0.37768152218152223
12200	0.37508547008547016
12300	0.3804561965811966
12400	0.37862082824582827
12500	0.3732336182336181
12600	0.3720975783475783
12700	0.372110754985755
12800	0.3804537037037038
12900	0.37256695156695163
13000	0.3742364672364673
13100	0.3749954212454213
13200	0.37557407407407406
13300	0.3779229242979243
13400	0.3669607244607244
13500	0.3727847432358303
13600	0.37852157102157097
13700	0.3900541310541311
13800	0.3685502645502645
13900	0.3653552096052096
14000	0.36999898249898255
14100	0.3739700854700855
14200	0.3711959706959707
14300	0.3815598290598291
14400	0.3810652726902727
14500	0.3731174550087594
14600	0.3841705331705333
14700	0.3672003968253968
14800	0.37663817663817667
14900	0.38631196581196586
15000	0.3770589133089133
15100	0.37278103378103383
15200	0.37988354700854715
15300	0.37161752136752135
15400	0.3673946886446887
15500	0.36797515718636414
15600	0.37145584045584046
15700	0.3813897028897029
15800	0.3840772792022792
15900	0.38325508750508763
16000	0.3760434472934473
16100	0.37692872580803616
16200	0.3810727004477005
16300	0.3655128205128205
16400	0.37196311558811557
16500	0.3725538258038258
16600	0.37688710826210825
16700	0.37269983719983724
16800	0.3636045991045991
16900	0.3773518518518519
17000	0.3668431013431014
17100	0.3813559218559219
17200	0.37113486975986976
17300	0.3931709401709402
17400	0.3783457977207977
17500	0.3730277269027268
17600	0.3761654810567854
17700	0.3753400997150997
17800	0.3763085589378693
17900	0.38117378917378925
18000	0.3699650488400488
18100	0.3692207977207977
18200	0.3869818884818885
18300	0.3678247863247862
18400	0.37603947903947904
18500	0.38524811762311767
18600	0.3774928774928775
18700	0.37218080993080993
18800	0.37597863247863245
18900	0.3785531135531136
19000	0.3729608262108262
19100	0.37352167277167275
19200	0.37111360398860394
19300	0.3831994301994301
19400	0.3834214489214489
19500	0.3717336182336183
19600	0.3711923076923077
19700	0.3826428062678063
19800	0.3828551078551079
19900	0.3759017094017093
20000	0.38552523402523403
20100	0.36956206756206755
20200	0.38017195767195766
20300	0.37926948689879725
20400	0.38056593406593403
20500	0.3775418192918193
20600	0.36909116809116815
20700	0.3731749084249084
20800	0.3778156288156289
20900	0.3780132275132275
21000	0.38004344729344736
21100	0.39066381766381775
21200	0.3750917277167278
21300	0.368425875050875
21400	0.3735316951566951
21500	0.37487606837606835
21600	0.37609401709401713
21700	0.3815199430199431
21800	0.3697774725274725
21900	0.3707079772079771
22000	0.3801977004477004
22100	0.37346194546194555
22200	0.36378225478225473
22300	0.36263746438746436
22400	0.38056410256410256
22500	0.37386941427027626
22600	0.36960897435897444
22700	0.3811310541310541
22800	0.3827265466015466
22900	0.3882663817663818
23000	0.38755229955229953
23100	0.3760480260480262
23200	0.392175925925926
23300	0.38306191493691494
23400	0.38061955636955647
23500	0.3745612535612536
23600	0.37133007733007733
23700	0.3843851241351241
23800	0.3767949735449735
23900	0.37526261701261704
24000	0.3783611111111112
24100	0.38882519332519333
24200	0.37188390313390307
24300	0.37839448514448515
24400	0.3825267094017094
24500	0.3671071428571428
24600	0.38241056166056164
24700	0.3828575498575499
24800	0.3712947700447701
24900	0.36273931623931616
25000	0.3814568579568581
25100	0.36901103988603984
25200	0.37348071835571833
25300	0.36753703703703705
25400	0.3832592592592593
25500	0.37423137973137977
25600	0.36814916564916567
25700	0.3793684371184372
25800	0.37569088319088323
25900	0.37512108262108257
26000	0.37661199528440903
26100	0.37453947903947904
26200	0.3831496743996744
26300	0.370751628001628
26400	0.3718091168091168
26500	0.37126739926739927
26600	0.3855915750915751
26700	0.3695876068376069
26800	0.37471621896621904
26900	0.3784975579975579
27000	0.3759687627187628
27100	0.37019179894179893
27200	0.3659809411533549
27300	0.3764944037444038
27400	0.3900245217745218
27500	0.391905168905169
27600	0.3737140822140822
27700	0.3753742877492878
27800	0.377965811965812
27900	0.3715967643467643
28000	0.37716809116809114
28100	0.3776542531542532
28200	0.36219973544973544
28300	0.3766552706552707
28400	0.3785196377696378
28500	0.38096225071225076
28600	0.38228815628815627
28700	0.3675964590964591
28800	0.3793433048433048
28900	0.3641288156288155
29000	0.3824294871794872
29100	0.3827136752136753
29200	0.36565486365486366
29300	0.3800110398860399
29400	0.3753917378917379
29500	0.3808461538461539
29600	0.37351129426129437
29700	0.3791923076923077
29800	0.3896086691086692
29900	0.3875366300366301
30000	0.37091944198840754
30100	0.3715516381766382
30200	0.37520614570614574
30300	0.3757264957264958
30400	0.3747777777777778
30500	0.381383954008954
30600	0.38120624745624754
30700	0.374258547008547
30800	0.37949674399674393
30900	0.3822136752136752
31000	0.3785629833129833
31100	0.3829806674806675
31200	0.38098504273504274
31300	0.37770797720797716
31400	0.3899179894179895
31500	0.37484508547008544
31600	0.3803137973137973
31700	0.37367908017908014
31800	0.3819056881815503
31900	0.3781371082621082
32000	0.3769017094017094
32100	0.38782763532763537
32200	0.38108664021164024
32300	0.3739843304843305
32400	0.376903947903948
32500	0.37217226292226285
32600	0.3754044566544567
32700	0.3759124949124949
32800	0.37287566137566136
32900	0.36985434472934475
33000	0.3902252747252748
33100	0.37747873422873435
33200	0.37874512263099225
33300	0.37773397435897443
33400	0.380808658933659
33500	0.36855698005698007
33600	0.3734202279202279
33700	0.3753995726495727
33800	0.3737741656491656
33900	0.3676264245014245
34000	0.3726193019943019
