#MCS	AdhesionEnergy
0	23500.0
10	26346.0
20	26824.0
30	26548.0
40	26269.0
50	26279.0
60	25724.0
70	26038.0
80	25801.0
90	25876.0
100	26144.0
110	25728.0
120	25582.0
130	25751.0
140	25648.0
150	25667.0
160	25394.0
170	25324.0
180	25336.0
190	25150.0
200	25592.0
210	25435.0
220	25470.0
230	25609.0
240	25331.0
250	25275.0
260	25264.0
270	25455.0
280	25683.0
290	25302.0
300	24914.0
310	25099.0
320	25263.0
330	25178.0
340	25440.0
350	25454.0
360	25301.0
370	25188.0
380	25306.0
390	25339.0
400	25398.0
410	25450.0
420	25130.0
430	24825.0
440	25240.0
450	25300.0
460	25184.0
470	25080.0
480	25093.0
490	25238.0
500	25044.0
510	24844.0
520	24967.0
530	25410.0
540	25237.0
550	25166.0
560	25019.0
570	24994.0
580	24920.0
590	25228.0
600	25451.0
610	25480.0
620	25298.0
630	25141.0
640	25323.0
650	25235.0
660	25172.0
670	25114.0
680	24928.0
690	25152.0
700	25070.0
710	25201.0
720	25064.0
730	25133.0
740	25002.0
750	25085.0
760	24970.0
770	24833.0
780	24799.0
790	25090.0
800	24892.0
810	25450.0
820	25093.0
830	25048.0
840	25191.0
850	25150.0
860	25007.0
870	24910.0
880	24931.0
890	24608.0
900	25081.0
910	24777.0
920	24844.0
930	24828.0
940	24942.0
950	24958.0
960	24673.0
970	25166.0
980	24939.0
990	24593.0
1000	24878.0
1010	24562.0
1020	25076.0
1030	24801.0
1040	25100.0
1050	24729.0
1060	25091.0
1070	24593.0
1080	24672.0
1090	24600.0
1100	24749.0
1110	25067.0
1120	24867.0
1130	24806.0
1140	25175.0
1150	25101.0
1160	24712.0
1170	24961.0
1180	24952.0
1190	25003.0
1200	24937.0
1210	24821.0
1220	24559.0
1230	24765.0
1240	24689.0
1250	24794.0
1260	24920.0
1270	24819.0
1280	24785.0
1290	25142.0
1300	24843.0
1310	24901.0
1320	25083.0
1330	24844.0
1340	24918.0
1350	24946.0
1360	24961.0
1370	24934.0
1380	24838.0
1390	24540.0
1400	24677.0
1410	24656.0
1420	24735.0
1430	24654.0
1440	24722.0
1450	24878.0
1460	24607.0
1470	24533.0
1480	25009.0
1490	24644.0
1500	24498.0
1510	24445.0
1520	24664.0
1530	24576.0
1540	24747.0
1550	24611.0
1560	24644.0
1570	24329.0
1580	24647.0
1590	24651.0
1600	24781.0
1610	24789.0
1620	24723.0
1630	24971.0
1640	24696.0
1650	24787.0
1660	24488.0
1670	24752.0
1680	24524.0
1690	25078.0
1700	25235.0
1710	24715.0
1720	25041.0
1730	24692.0
1740	24444.0
1750	24729.0
1760	24207.0
1770	24617.0
1780	24252.0
1790	24455.0
1800	24445.0
1810	25165.0
1820	24302.0
1830	24428.0
1840	24848.0
1850	24685.0
1860	24706.0
1870	24892.0
1880	24450.0
1890	24899.0
1900	24448.0
1910	24625.0
1920	24878.0
1930	24717.0
1940	24971.0
1950	24827.0
1960	24666.0
1970	24873.0
1980	24754.0
1990	24738.0
2000	24342.0
2010	24547.0
2020	24854.0
2030	24461.0
2040	24615.0
2050	24428.0
2060	24706.0
2070	24991.0
2080	24703.0
2090	24828.0
2100	24562.0
2110	24445.0
2120	24767.0
2130	24540.0
2140	24710.0
2150	24434.0
2160	24557.0
2170	24563.0
2180	24816.0
2190	24616.0
2200	24635.0
2210	24900.0
2220	24914.0
2230	24835.0
2240	24627.0
2250	24839.0
2260	24717.0
2270	24922.0
2280	24652.0
2290	24740.0
2300	24889.0
2310	24845.0
2320	24407.0
2330	24635.0
2340	24850.0
2350	24363.0
2360	24693.0
2370	24772.0
2380	24780.0
2390	25064.0
2400	25113.0
2410	25148.0
2420	24582.0
2430	24554.0
2440	24778.0
2450	24602.0
2460	24534.0
2470	24551.0
2480	25021.0
2490	24991.0
2500	24593.0
2510	24605.0
2520	24903.0
2530	24802.0
2540	24493.0
2550	24517.0
2560	24508.0
2570	24800.0
2580	24637.0
2590	24606.0
2600	24745.0
2610	24968.0
2620	24430.0
2630	24604.0
2640	24587.0
2650	24669.0
2660	24867.0
2670	24879.0
2680	24550.0
2690	24410.0
2700	24715.0
2710	24887.0
2720	24486.0
2730	24802.0
2740	24659.0
2750	24516.0
2760	24740.0
2770	24655.0
2780	24647.0
2790	24408.0
2800	24529.0
2810	24700.0
2820	24805.0
2830	24684.0
2840	24816.0
2850	24343.0
2860	24339.0
2870	24562.0
2880	24622.0
2890	24657.0
2900	24938.0
2910	24552.0
2920	24670.0
2930	24209.0
2940	24457.0
2950	24646.0
2960	24627.0
2970	24922.0
2980	24461.0
2990	24394.0
3000	24637.0
3010	24451.0
3020	24417.0
3030	24487.0
3040	24550.0
3050	24618.0
3060	24589.0
3070	24565.0
3080	24789.0
3090	24430.0
3100	24660.0
3110	24693.0
3120	24534.0
3130	24737.0
3140	24800.0
3150	24520.0
3160	24579.0
3170	24586.0
3180	24592.0
3190	24266.0
3200	24351.0
3210	24655.0
3220	24569.0
3230	24613.0
3240	24561.0
3250	24532.0
3260	24687.0
3270	24670.0
3280	24764.0
3290	24666.0
3300	24396.0
3310	24584.0
3320	24833.0
3330	24583.0
3340	24150.0
3350	24574.0
3360	24521.0
3370	24468.0
3380	24404.0
3390	24260.0
3400	24700.0
3410	24701.0
3420	24472.0
3430	24632.0
3440	24395.0
3450	24748.0
3460	24341.0
3470	24525.0
3480	24149.0
3490	24444.0
3500	24562.0
3510	24563.0
3520	24496.0
3530	24084.0
3540	24609.0
3550	24416.0
3560	24534.0
3570	24271.0
3580	24410.0
3590	24269.0
3600	24457.0
3610	24401.0
3620	24698.0
3630	24607.0
3640	24615.0
3650	24931.0
3660	24845.0
3670	24609.0
3680	24497.0
3690	24538.0
3700	24570.0
3710	24544.0
3720	24589.0
3730	24929.0
3740	24666.0
3750	24478.0
3760	24635.0
3770	24513.0
3780	24612.0
3790	24842.0
3800	24560.0
3810	24696.0
3820	24567.0
3830	24309.0
3840	24413.0
3850	24732.0
3860	24757.0
3870	24258.0
3880	24424.0
3890	24193.0
3900	24500.0
3910	24646.0
3920	24258.0
3930	24528.0
3940	24733.0
3950	24593.0
3960	24624.0
3970	24842.0
3980	24400.0
3990	24476.0
4000	24335.0
4010	24316.0
4020	24628.0
4030	24704.0
4040	24806.0
4050	24421.0
4060	24440.0
4070	24250.0
4080	24598.0
4090	24448.0
4100	24709.0
4110	24424.0
4120	24493.0
4130	24528.0
4140	25008.0
4150	24152.0
4160	24241.0
4170	24333.0
4180	24435.0
4190	24330.0
4200	24502.0
4210	24369.0
4220	24569.0
4230	24112.0
4240	24476.0
4250	24187.0
4260	24509.0
4270	24462.0
4280	24450.0
4290	24568.0
4300	24736.0
4310	24892.0
4320	24531.0
4330	24542.0
4340	24748.0
4350	24541.0
4360	24635.0
4370	24450.0
4380	24974.0
4390	24522.0
4400	24513.0
4410	24404.0
4420	24467.0
4430	24812.0
4440	24558.0
4450	24195.0
4460	24258.0
4470	24290.0
4480	24618.0
4490	24756.0
4500	24725.0
4510	24487.0
4520	24692.0
4530	24642.0
4540	24683.0
4550	24884.0
4560	24445.0
4570	24463.0
4580	24629.0
4590	24123.0
4600	24831.0
4610	24348.0
4620	24459.0
4630	24281.0
4640	24465.0
4650	24385.0
4660	24725.0
4670	24528.0
4680	24491.0
4690	24327.0
4700	24673.0
4710	24794.0
4720	24929.0
4730	24674.0
4740	24576.0
4750	24455.0
4760	24478.0
4770	24655.0
4780	24812.0
4790	24888.0
4800	24678.0
4810	24715.0
4820	24659.0
4830	24623.0
4840	24776.0
4850	24764.0
4860	24529.0
4870	24595.0
4880	24613.0
4890	24550.0
4900	24298.0
4910	24556.0
4920	24729.0
4930	24563.0
4940	24444.0
4950	24776.0
4960	24677.0
4970	24398.0
4980	24527.0
4990	24307.0
5000	24386.0
5010	24633.0
5020	24709.0
5030	24381.0
5040	24445.0
5050	24264.0
5060	24302.0
5070	24391.0
5080	24594.0
5090	24301.0
5100	24796.0
5110	24560.0
5120	24360.0
5130	24582.0
5140	24665.0
5150	24880.0
5160	24705.0
5170	24859.0
5180	24888.0
5190	24605.0
5200	24328.0
5210	24344.0
5220	24543.0
5230	24427.0
5240	24318.0
5250	24649.0
5260	24489.0
5270	24503.0
5280	24699.0
5290	24658.0
5300	24233.0
5310	24516.0
5320	24473.0
5330	24488.0
5340	24511.0
5350	24470.0
5360	24652.0
5370	24440.0
5380	24316.0
5390	24425.0
5400	24341.0
5410	24556.0
5420	24407.0
5430	24352.0
5440	24547.0
5450	24314.0
5460	24330.0
5470	24160.0
5480	24246.0
5490	24235.0
5500	24565.0
5510	24794.0
5520	24557.0
5530	24436.0
5540	24524.0
5550	24041.0
5560	24530.0
5570	24568.0
5580	24545.0
5590	24648.0
5600	24696.0
5610	24387.0
5620	24283.0
5630	24433.0
5640	24365.0
5650	24476.0
5660	24196.0
5670	24435.0
5680	24445.0
5690	24600.0
5700	24282.0
5710	24439.0
5720	24226.0
5730	24258.0
5740	24307.0
5750	24383.0
5760	24184.0
5770	24408.0
5780	24395.0
5790	24320.0
5800	24069.0
5810	24454.0
5820	24448.0
5830	24513.0
5840	24720.0
5850	24508.0
5860	24340.0
5870	24761.0
5880	24483.0
5890	24276.0
5900	24414.0
5910	24290.0
5920	24412.0
5930	24285.0
5940	24439.0
5950	24443.0
5960	24771.0
5970	24623.0
5980	24512.0
5990	24694.0
6000	24586.0
6010	24420.0
6020	24428.0
6030	24265.0
6040	24338.0
