#MCS	Mean_volume
45400	47.118811881188115
45500	47.118811881188115
45600	47.26732673267327
45700	47.08910891089109
45800	47.04950495049505
45900	46.65686274509804
46000	46.411764705882355
46100	46.8235294117647
46200	47.009803921568626
46300	46.950980392156865
46400	46.911764705882355
46500	46.931372549019606
46600	46.63725490196079
46700	47.01960784313726
46800	47.14705882352941
46900	46.66990291262136
47000	46.38834951456311
47100	46.51456310679612
47200	46.601941747572816
47300	46.53398058252427
47400	46.53398058252427
47500	46.592233009708735
47600	46.80582524271845
47700	46.679611650485434
47800	46.75728155339806
47900	47.00970873786408
48000	46.86407766990291
48100	46.9126213592233
48200	47.13592233009709
48300	46.89320388349515
48400	46.932038834951456
48500	47.22330097087379
48600	47.00970873786408
48700	46.83495145631068
48800	46.922330097087375
48900	46.5
49000	46.60576923076923
49100	46.81730769230769
49200	46.67307692307692
49300	46.69230769230769
49400	46.78846153846154
49500	46.84615384615385
49600	46.98076923076923
49700	46.90384615384615
49800	46.88461538461539
49900	46.75
50000	46.95192307692308
50100	47.09615384615385
50200	47.18269230769231
50300	47.41346153846154
50400	46.97142857142857
50500	46.94285714285714
50600	46.59047619047619
50700	46.666666666666664
50800	46.94285714285714
50900	46.27358490566038
51000	46.25471698113208
51100	46.45283018867924
51200	46.386792452830186
51300	46.45283018867924
51400	46.4622641509434
51500	46.046728971962615
51600	46.14018691588785
51700	46.02803738317757
51800	45.342592592592595
51900	45.824074074074076
52000	45.73148148148148
52100	45.574074074074076
52200	45.98148148148148
52300	45.75925925925926
52400	45.3394495412844
52500	45.321100917431195
52600	45.38532110091743
52700	45.293577981651374
52800	45.678899082568805
52900	45.60550458715596
53000	45.57798165137615
53100	45.56880733944954
53200	45.76146788990825
53300	45.788990825688074
53400	45.41818181818182
53500	45.29090909090909
53600	45.28181818181818
53700	45.75454545454546
53800	44.828828828828826
53900	45.171171171171174
54000	45.153153153153156
54100	45.24324324324324
54200	45.4054054054054
54300	45.34234234234234
54400	45.414414414414416
54500	45.5945945945946
54600	45.306306306306304
54700	45.414414414414416
54800	45.630630630630634
54900	45.729729729729726
55000	45.57657657657658
55100	45.711711711711715
55200	45.513513513513516
55300	45.75675675675676
55400	45.549549549549546
55500	45.68468468468468
55600	45.95495495495496
55700	45.711711711711715
55800	45.88288288288288
55900	45.95495495495496
56000	46.01801801801802
56100	46.11711711711712
56200	46.37837837837838
56300	46.34234234234234
56400	45.86607142857143
56500	45.830357142857146
56600	45.88392857142857
56700	45.8125
56800	45.660714285714285
56900	45.982142857142854
57000	46.151785714285715
57100	46.267857142857146
57200	46.098214285714285
57300	46.276785714285715
57400	46.25
57500	46.25
57600	46.357142857142854
57700	46.473214285714285
57800	46.544642857142854
57900	46.6875
58000	46.38392857142857
58100	47.00892857142857
58200	46.535714285714285
58300	46.75
58400	45.94736842105263
58500	45.98245614035088
58600	45.6140350877193
58700	45.85087719298246
58800	45.92982456140351
58900	45.643478260869564
59000	45.45217391304348
59100	45.504347826086956
59200	45.678260869565214
59300	45.73913043478261
59400	45.78260869565217
59500	45.95652173913044
59600	45.93913043478261
59700	45.8
59800	45.93913043478261
59900	46.017391304347825
60000	46.28695652173913
60100	46.243478260869566
60200	46.36521739130435
60300	46.095652173913045
60400	46.04347826086956
60500	45.689655172413794
60600	45.6551724137931
60700	45.73275862068966
60800	45.63247863247863
60900	45.55555555555556
61000	45.675213675213676
61100	45.76068376068376
61200	45.675213675213676
61300	45.598290598290596
61400	45.8974358974359
61500	45.888888888888886
61600	46.162393162393165
61700	45.432203389830505
61800	45.432203389830505
61900	45.47457627118644
62000	45.440677966101696
62100	45.53389830508475
62200	45.728813559322035
62300	45.779661016949156
62400	45.75423728813559
62500	45.99152542372882
62600	45.53781512605042
62700	45.436974789915965
62800	45.680672268907564
62900	46.00840336134454
63000	45.80672268907563
63100	45.680672268907564
63200	45.79831932773109
63300	46.0
63400	45.705882352941174
63500	46.260504201680675
63600	46.016806722689076
63700	46.19327731092437
63800	46.134453781512605
63900	46.33613445378151
64000	46.51260504201681
64100	46.38655462184874
64200	46.53781512605042
64300	46.53781512605042
64400	46.09166666666667
64500	46.15
64600	45.53719008264463
64700	45.13934426229508
64800	45.221311475409834
64900	45.221311475409834
65000	45.51639344262295
65100	45.260162601626014
65200	45.13008130081301
65300	45.21951219512195
65400	45.016260162601625
65500	45.3739837398374
65600	45.36585365853659
65700	45.11290322580645
65800	45.13709677419355
65900	44.75
66000	45.016129032258064
66100	44.95161290322581
66200	45.185483870967744
66300	45.225806451612904
66400	45.516129032258064
66500	45.53225806451613
66600	45.443548387096776
66700	45.66935483870968
66800	45.645161290322584
66900	45.54838709677419
67000	45.58064516129032
67100	45.95161290322581
67200	45.75
67300	45.895161290322584
67400	45.96774193548387
67500	46.16935483870968
67600	46.03225806451613
67700	45.824
67800	45.34920634920635
67900	45.317460317460316
68000	45.23809523809524
68100	45.61904761904762
68200	45.53174603174603
68300	45.67460317460318
68400	45.65873015873016
68500	45.46825396825397
68600	45.84920634920635
68700	45.73015873015873
68800	45.76984126984127
68900	45.87301587301587
69000	46.08730158730159
69100	46.11904761904762
69200	46.20634920634921
69300	45.62204724409449
69400	45.98425196850393
69500	45.70866141732284
69600	45.75590551181102
69700	46.25196850393701
69800	45.77952755905512
69900	46.125984251968504
70000	46.36220472440945
70100	46.55118110236221
70200	46.46456692913386
70300	46.44881889763779
70400	46.67716535433071
70500	46.51968503937008
70600	46.53543307086614
70700	46.803149606299215
70800	46.803149606299215
70900	46.83464566929134
71000	46.51968503937008
71100	46.960629921259844
71200	47.10236220472441
71300	46.889763779527556
71400	46.92125984251968
71500	47.30708661417323
71600	47.32283464566929
71700	47.425196850393704
71800	47.338582677165356
71900	47.48031496062992
72000	47.2265625
72100	46.58914728682171
72200	46.70542635658915
72300	46.4031007751938
72400	46.968992248062015
72500	46.968992248062015
72600	47.2093023255814
72700	47.116279069767444
72800	46.66923076923077
72900	46.63846153846154
73000	47.08461538461538
73100	46.51538461538462
73200	47.13846153846154
73300	47.04615384615385
73400	46.83846153846154
73500	47.07692307692308
73600	46.770992366412216
73700	46.83206106870229
73800	46.770992366412216
73900	46.83969465648855
74000	47.083969465648856
74100	47.030534351145036
74200	47.343511450381676
74300	47.19847328244275
74400	47.61068702290076
74500	47.47328244274809
74600	47.63358778625954
74700	47.458015267175576
74800	47.49618320610687
74900	47.50381679389313
75000	47.89312977099237
75100	47.9236641221374
75200	47.88549618320611
75300	47.87786259541985
75400	47.87786259541985
75500	46.723880597014926
75600	46.92537313432836
75700	46.73134328358209
75800	46.92537313432836
75900	46.82089552238806
76000	47.12686567164179
76100	47.05223880597015
76200	47.04477611940298
76300	47.23134328358209
76400	47.25373134328358
76500	47.1044776119403
76600	46.93333333333333
76700	46.94074074074074
76800	47.148148148148145
76900	47.17037037037037
77000	47.148148148148145
77100	47.266666666666666
77200	47.17777777777778
77300	47.15555555555556
77400	47.44444444444444
77500	47.14705882352941
77600	47.125
77700	47.161764705882355
77800	46.970588235294116
77900	47.419117647058826
78000	47.25735294117647
78100	47.43382352941177
78200	47.35294117647059
78300	47.51470588235294
78400	47.09489051094891
78500	46.273381294964025
78600	46.62589928057554
78700	46.410071942446045
78800	46.47482014388489
78900	46.611510791366904
79000	46.798561151079134
79100	46.79136690647482
79200	46.55
79300	46.42857142857143
79400	46.93571428571428
79500	46.77857142857143
79600	46.50714285714286
79700	46.68571428571428
79800	46.92857142857143
79900	46.9
80000	47.114285714285714
80100	47.07142857142857
80200	47.17142857142857
80300	47.30714285714286
80400	46.801418439716315
80500	46.61702127659574
80600	46.851063829787236
80700	47.0
80800	47.205673758865245
80900	47.198581560283685
81000	47.276595744680854
81100	47.319148936170215
81200	46.95774647887324
81300	46.816901408450704
81400	46.80281690140845
81500	46.87323943661972
81600	46.92253521126761
81700	47.225352112676056
81800	47.07746478873239
81900	47.2887323943662
82000	47.54929577464789
82100	47.33098591549296
82200	47.37323943661972
82300	47.598591549295776
82400	47.809859154929576
82500	47.16083916083916
82600	47.13986013986014
82700	47.16083916083916
82800	47.44755244755245
82900	47.48251748251748
83000	47.3125
83100	47.263888888888886
