#MCS	VS_mean	VS_ideal_mean	Q_mean	D_mean
0	0.4037984673176123	0.611580976066652	0.6601807728601145	0.14425828046269934
100	0.37158138990638995	0.5561824000250002	0.6670022807115924	1.682813507068143
200	0.3732293549043549	0.5565508489053416	0.6699442294278817	3.1947509137397883
300	0.3697540433385261	0.5540207334145488	0.6661755827760417	4.614154375874369
400	0.3733178673178675	0.5564072699440339	0.6698331035427191	6.158482278288499
500	0.3713540552678483	0.5556025265400972	0.6674442775592807	7.611305202125209
600	0.3705875061400921	0.5560883215610469	0.665652847929891	9.078531829597528
700	0.36581031640773015	0.5526417659306048	0.6606592913353994	10.613454693905714
800	0.36848951973951993	0.5542377663368352	0.663527705136407	12.077831217726029
900	0.37174240944240955	0.5547793885293079	0.6691200977344613	13.493516108759096
1000	0.3696095718776754	0.5555218387113345	0.6641352000987049	14.936719607162154
1100	0.36789165193044515	0.5550873473137272	0.6616865379549932	16.350485911614747
1200	0.36718614163614177	0.5543531545830094	0.6610896361002914	17.674018346963486
1300	0.36753566727014975	0.5551669795938428	0.661115592465028	18.978233897156578
1400	0.37086215106732356	0.5571562246563613	0.6647985485695197	20.383928400723477
1500	0.37386098480064006	0.5583098529234518	0.6685633050902691	21.72660117541267
1600	0.37758153200567	0.560174873842191	0.6731886184696507	23.086871804813796
1700	0.36777136155670653	0.5562885970657043	0.6601857679870581	24.340735346668275
1800	0.37292481790240417	0.5583312506264356	0.666859104944609	25.82203956626373
1900	0.37158085203430036	0.5593386860905412	0.6634716939391897	27.104934871804236
2000	0.37250027577786204	0.5600897493996105	0.6643567767966094	28.548750056825938
2100	0.37856621089638326	0.5623750091356614	0.672320028067025	29.905656994301403
2200	0.3756018322035566	0.5608686668767926	0.6690587469935717	31.201299583358523
2300	0.3748259992561715	0.5606356074290504	0.6676477057526413	32.62677290095086
2400	0.37967027704096673	0.5630802822348303	0.673415722861562	34.065662850733816
2500	0.3747430567948923	0.561018918462036	0.6672867268398093	35.48201240898688
2600	0.37466060832526343	0.5606105147508568	0.6676176270417276	36.79780990903245
2700	0.376816167525261	0.5625836095645315	0.6689131246595968	38.14590205000184
2800	0.37715294794605136	0.5622457347073441	0.6700660690219948	39.428693913638504
2900	0.3725552336675808	0.5608523544109283	0.6636169919364755	40.757286954094404
3000	0.37555749442128766	0.562382494710165	0.6668801251187592	42.01635131194306
3100	0.3778882657572316	0.5640528682005816	0.6692662343967087	43.24717858602265
3200	0.3766124961688087	0.5630853299096001	0.6679017748464373	44.379789879259135
