#MCS	Surface_energy
0	32450.461311294675
100	1221.4846799633044
200	1066.7841760491444
300	983.5827422790742
400	969.339373090249
500	1010.0355056432246
600	1171.7138269810323
700	943.9387495334461
800	1034.4731661884848
900	780.0209082988177
1000	1005.6712681784335
1100	1000.3421368922883
1200	977.269604296518
1300	970.2908438098383
1400	1151.1259397760164
1500	972.7213068891807
1600	976.6310655411612
1700	1091.6115771382515
1800	1205.6571130882307
1900	1130.0803136431878
2000	1131.0324265274755
2100	1213.3867508332044
2200	1188.4561490169617
2300	1064.0701315262652
2400	1125.2870955803737
2500	1127.2990008370352
2600	1013.297085673525
2700	1157.8036861519095
2800	910.9445600532512
2900	1197.832669499323
3000	1016.2433507172431
3100	1102.4547667123147
3200	1028.856624455783
3300	1043.0852664263357
3400	1137.4165646380723
3500	947.5620247398539
3600	1122.3979376275197
3700	1256.686079831669
3800	1071.5245620372946
3900	1211.6231897489818
4000	1055.4118664382102
4100	986.9407016106173
4200	1093.4710353946462
4300	1078.0323745335595
4400	1039.4198606331404
4500	1173.3426261102354
4600	1382.8178702818984
4700	1256.8089125100091
4800	1133.169309138228
4900	1095.9341744686342
5000	1163.3243657567584
5100	1432.671065518437
5200	1066.752434726382
5300	1088.1789779210187
5400	1250.7069302052666
5500	1333.8069986603575
5600	1228.5438231230107
5700	907.1163364665472
5800	1463.0187937824378
5900	1117.0770084472592
6000	1277.2259877465915
6100	1220.081064934304
6200	1292.874749497272
6300	1530.7763660446117
6400	1243.5915186270645
6500	1145.1180127111606
6600	1195.895477415389
6700	1218.3794293292497
6800	1400.92591163916
6900	1257.1438217465347
7000	1292.3377342299823
7100	1510.6102944094062
7200	1158.8715660410348
7300	1718.3075243727205
7400	1431.4678933765754
7500	1374.0403466664407
7600	1171.685233904481
7700	1577.3680718583748
7800	1494.0210788282704
7900	1404.585540165323
8000	1433.729728675082
8100	1140.6943109942126
8200	1250.3163375936504
8300	1214.176993210579
8400	1470.9150423362048
8500	1288.222645710481
8600	1593.4129379230162
8700	1389.212272930795
8800	1434.8380798893488
8900	1446.2145423260274
9000	1429.2438981838177
9100	1454.8393939332175
9200	1758.1648668762084
9300	1452.3667802597934
9400	1505.576748545996
9500	1485.2542130940878
9600	1443.018593399234
9700	1330.352917875935
9800	1256.7594561305107
9900	1452.794532523026
10000	1693.1965552520733
10100	1486.7750037248366
10200	1476.5912663180347
10300	1725.4746271996476
10400	1799.2985103925926
10500	1539.1085094869331
10600	1519.5368838615195
10700	1737.9524453861804
10800	1598.6993542029877
10900	1511.99151838936
11000	1335.1781257157324
11100	1727.4316708055896
11200	1669.4354358531177
11300	1929.038490105859
11400	1638.5299944773199
11500	1391.8223216944677
11600	1724.521102443436
11700	1614.6777374059736
11800	1568.2981383189851
11900	1510.9990795790147
12000	1704.840459161058
12100	2044.879620994495
12200	2048.6530855919927
12300	1759.884356448231
12400	1752.2807530538148
12500	1653.6718933291936
12600	2321.608277011944
12700	1624.333522770794
12800	1755.8550404220332
12900	1724.0140482852546
13000	1855.7290564325212
13100	1994.0087846699996
13200	1792.9368581536746
13300	1753.8291813894036
13400	1766.2573780657833
13500	1830.7329381129048
13600	2090.0268309128496
13700	2218.990244767234
13800	2223.861705870447
13900	2163.810470334924
14000	1963.2505029308206
14100	2364.828334981123
14200	1854.240132890254
14300	1900.3817207067784
14400	2193.2177098746147
14500	1710.3645928408864
14600	2018.0331720059935
14700	2197.800415192617
14800	2228.7011523230804
14900	2291.5772019767637
15000	2150.3838910946674
15100	2173.118827151776
15200	2077.2583088254232
15300	2109.535657507533
15400	2730.3585881437616
15500	2195.50941024673
15600	2094.14151636943
15700	2355.972298166087
15800	2132.0669996511383
15900	1952.847249579017
16000	1960.6004629208321
16100	2051.614094240994
16200	2501.0503071880557
16300	2144.923654299967
16400	1680.3983825415462
16500	1926.8113711483516
16600	2107.6776138708587
16700	2180.656318356566
16800	2336.6159828527325
16900	2288.539624457711
17000	2476.2818886817904
17100	2345.2078486222945
17200	2005.487576909674
17300	2221.092325189698
17400	2257.0992696445387
17500	2241.4796289095525
17600	2449.811591832926
17700	2604.29579376335
17800	2322.588271721051
17900	2386.7504409474086
18000	2652.195120587714
18100	2410.8392181376853
18200	2693.73974223271
18300	2053.147995338535
18400	2524.9776677238774
18500	2158.293419366185
18600	2163.442099401417
18700	2533.513887460781
18800	2620.7985553899903
18900	2602.190255498274
19000	2332.028702281746
19100	2255.1145565407915
19200	2178.426374759073
19300	2605.76057486386
19400	2145.0569893440074
19500	2187.3427443317564
19600	2798.845816021419
19700	2242.3000987310525
19800	2484.0435849717755
19900	2068.7576053291973
20000	2528.4237670794673
20100	2520.035664148788
20200	2578.9953000326036
20300	2525.9037514884694
20400	2164.5416174512493
20500	2567.9841256551326
20600	2245.1896783365614
20700	2731.399859795983
20800	2184.8639251182344
20900	2575.331601927744
21000	2536.4121863686664
21100	2155.8502956203
21200	2766.934764633179
21300	2248.3936696980372
21400	2622.331048068239
21500	2309.8873410535457
21600	2940.746144577403
21700	2759.2080036498305
21800	2609.5657703570623
21900	2173.660230058064
22000	2421.8798757151367
22100	2589.4888128266757
22200	2383.7316874771604
22300	2571.079174717079
22400	3021.0320418891993
22500	2868.2702301735762
22600	3127.7578769935985
22700	2853.570457087731
22800	2325.350837240042
22900	2893.568912880068
23000	2882.5694224723716
23100	2957.1026355675217
23200	2908.4220549220177
23300	2945.362244804917
23400	2993.3189668546265
23500	3710.9868775264035
23600	3141.1318749834822
23700	3237.128157586116
23800	3463.9228825229566
23900	2540.7417916488002
24000	2904.6830452856543
24100	3280.6352538037686
24200	3329.4970396174476
24300	3707.279383553292
24400	3683.7036668376354
24500	3304.217886256584
24600	3383.2617637671046
24700	3516.0908953960093
24800	3279.1224057467334
24900	3768.493659531356
25000	4154.546507956577
25100	3945.693350418753
25200	3765.219050818915
25300	3942.9392921987774
25400	3942.616317068554
25500	3599.362109329977
25600	4211.193117477441
25700	4226.833336618136
25800	4456.946065953249
25900	3725.6706385995267
26000	3855.0724573986627
26100	4656.67825668672
26200	4262.710841657999
26300	4346.620658828297
26400	4162.2291575914205
26500	4245.239505239035
26600	4389.593482546063
26700	4344.254678959511
26800	4341.516190607323
26900	4050.2780877669584
27000	4097.571139446718
27100	3960.1303001412766
27200	4464.69708432477
27300	4180.624098605429
27400	4828.043213580637
27500	4569.820771440955
27600	4109.023767439399
27700	4387.168245096348
27800	4529.876812338598
27900	4480.558134124427
28000	4328.792565712366
28100	4586.603839430665
28200	4574.015910086279
28300	4023.2273979770657
28400	4883.9093797837495
28500	4662.705180550247
28600	4513.670846828523
28700	4528.331901751654
28800	4589.51221239834
28900	4380.870598202518
29000	4372.296846262901
29100	4805.725045972559
29200	4503.233814921831
29300	4405.58563090253
29400	4786.271929756902
29500	4613.4871315518385
29600	4910.108502315887
29700	4935.775876502168
29800	4767.279014326949
29900	4592.446911098231
30000	4856.8054988634185
30100	4535.847877600708
30200	5200.00283966255
30300	4263.651762656287
30400	4747.343994978555
30500	4329.604542010163
30600	4821.638468131872
30700	5028.563278875865
30800	4941.59813952011
30900	4423.328087509015
31000	4568.856624199401
31100	4897.718680590474
31200	4515.127519707915
31300	4498.948693448603
31400	4610.608661967875
31500	4366.843763268806
31600	4209.431068201254
31700	4791.148694992065
31800	4608.374999477043
31900	4741.2636556942225
32000	4598.475785484123
32100	4321.560780255174
32200	5178.6788518828125
32300	4333.046534154697
32400	4558.0547963089175
32500	4599.144998154166
32600	4501.109998468553
32700	4977.819023854976
32800	4741.1779401155945
32900	4788.494446604365
33000	4587.446163123864
33100	4466.953067045675
33200	4716.797353578346
33300	4691.888918984337
33400	4699.417071862835
33500	4516.2608150923315
33600	4258.040198970007
33700	4683.528026789503
33800	4428.001434340115
33900	4728.0597311985
34000	4768.095959813409
34100	4409.8976497392105
34200	4388.405652258427
34300	4199.067923298583
34400	4447.195611667803
34500	4984.79005033852
34600	4467.885688081961
34700	4730.464502492851
34800	4125.610405807444
34900	4346.862679179151
35000	4780.2201913957215
35100	4587.252842538849
35200	4578.828292023473
35300	4692.570599705792
35400	4491.195387061487
35500	4197.525432958953
35600	4157.048146475105
35700	4423.885422839018
35800	4029.307405632779
35900	4226.70356642922
36000	4593.490420338617
36100	4482.05632878502
36200	4809.474843556845
36300	4393.672991327039
36400	4010.0215134488562
36500	4259.934457136125
36600	4035.693991591108
36700	4690.794304939655
36800	4296.2704183713395
36900	4443.88455084997
37000	4393.536060033784
37100	4587.021237321686
37200	4196.080812610522
37300	4195.537575937473
37400	4183.147997925348
37500	4607.4082863259055
37600	4451.8852782196445
37700	4225.238021615488
37800	4329.609562274173
37900	4453.770575743549
38000	4157.000293618678
38100	4459.6016832918895
38200	4311.4570678916525
38300	4628.057925788268
38400	4304.511320726049
