#MCS	ActivatedTCell_Wall_contact_area	Total_cell_Wall_contact_area
26800	1297.0	1297.0
26900	1310.0	1310.0
27000	1317.0	1317.0
27100	1311.0	1311.0
27200	1320.0	1320.0
27300	1315.0	1315.0
27400	1325.0	1325.0
27500	1331.0	1331.0
27600	1333.0	1333.0
27700	1325.0	1325.0
27800	1329.0	1329.0
27900	1345.0	1345.0
28000	1339.0	1339.0
28100	1362.0	1362.0
28200	1378.0	1378.0
28300	1372.0	1372.0
28400	1366.0	1366.0
28500	1356.0	1356.0
28600	1350.0	1350.0
28700	1345.0	1345.0
28800	1348.0	1348.0
28900	1357.0	1357.0
29000	1358.0	1358.0
29100	1344.0	1344.0
29200	1340.0	1340.0
29300	1352.0	1352.0
29400	1357.0	1357.0
29500	1352.0	1352.0
29600	1351.0	1351.0
29700	1366.0	1366.0
29800	1358.0	1358.0
29900	1386.0	1386.0
30000	1378.0	1378.0
30100	1375.0	1375.0
30200	1370.0	1370.0
30300	1374.0	1374.0
30400	1379.0	1379.0
30500	1396.0	1396.0
30600	1405.0	1405.0
30700	1402.0	1402.0
30800	1383.0	1383.0
30900	1386.0	1386.0
31000	1369.0	1369.0
31100	1370.0	1370.0
31200	1358.0	1358.0
31300	1376.0	1376.0
31400	1380.0	1380.0
31500	1368.0	1368.0
31600	1364.0	1364.0
31700	1375.0	1375.0
31800	1374.0	1374.0
31900	1382.0	1382.0
32000	1414.0	1414.0
32100	1390.0	1390.0
32200	1385.0	1385.0
32300	1353.0	1353.0
32400	1374.0	1374.0
32500	1385.0	1385.0
32600	1385.0	1385.0
32700	1388.0	1388.0
32800	1369.0	1369.0
32900	1384.0	1384.0
33000	1383.0	1383.0
33100	1395.0	1395.0
33200	1375.0	1375.0
33300	1383.0	1383.0
33400	1401.0	1401.0
33500	1397.0	1397.0
33600	1376.0	1376.0
33700	1379.0	1379.0
33800	1403.0	1403.0
33900	1394.0	1394.0
34000	1407.0	1407.0
34100	1400.0	1400.0
34200	1415.0	1415.0
34300	1411.0	1411.0
34400	1393.0	1393.0
34500	1415.0	1415.0
34600	1414.0	1414.0
34700	1406.0	1406.0
34800	1397.0	1397.0
34900	1390.0	1390.0
35000	1410.0	1410.0
35100	1402.0	1402.0
35200	1408.0	1408.0
35300	1378.0	1378.0
