#MCS	Volume_energy
0	7113.965111806975
100	21860.717409448054
200	22897.87401956336
300	22719.909052471212
400	23043.582611552218
500	23758.745205057297
600	24048.88633290052
700	23660.19900177284
800	23840.033523018697
900	23097.138757345714
1000	22659.732071110582
1100	23594.10211785398
1200	22723.694816017996
1300	23821.613921641834
1400	22608.026300849782
1500	22880.29265692249
1600	22122.173822145724
1700	23288.53081564676
1800	23481.04968519382
1900	23474.20109205443
2000	22057.394151598564
2100	23306.189501214656
2200	23150.557583416907
2300	22949.37306748329
2400	22551.205447537286
2500	22526.902550138606
2600	24031.383004910796
2700	21756.178066493747
2800	23639.94794601353
2900	23055.498157918213
3000	23007.79435339071
3100	23208.955453021077
3200	23692.013570680654
3300	22851.845189992146
3400	23714.227664574744
3500	23866.891392690115
3600	22480.82620556655
3700	23667.975561670642
3800	23800.755617605195
3900	23153.08737241104
4000	24039.315563996708
4100	23376.61102655272
4200	24927.964190936145
4300	24182.637187073953
4400	24614.35779265295
4500	23772.84199337902
4600	23404.189786520117
4700	22653.672248479816
4800	24113.723230424235
4900	23539.455246829537
5000	23589.094505289842
5100	24282.924766032334
5200	23414.676508281522
5300	23646.90151814945
5400	22999.03018804789
5500	24293.364423831204
5600	24116.648865199673
5700	23231.445224897423
5800	22908.375707433876
5900	23035.327546241984
6000	25068.0609163918
6100	22818.199401221565
6200	23777.293280155176
6300	22828.4097589972
6400	23014.657897532492
6500	23963.226315812855
6600	22952.168484477133
6700	23448.025323085636
6800	24179.340420341658
6900	24496.54434903639
7000	24251.42758684628
7100	23734.194599264825
7200	24425.863845230284
7300	23571.00164018381
7400	24606.972466590098
7500	23805.26652678024
7600	24209.4696417565
7700	23508.586520238983
7800	24042.650420083264
7900	23934.85548580187
8000	24207.729532373218
8100	23421.455672412885
8200	25402.752191804084
8300	24133.015425539776
8400	24357.20760655928
8500	24185.269917425398
8600	24439.58676998685
8700	25102.771645371675
8800	25560.80417382112
8900	24574.98999617936
9000	24864.88764566253
9100	24551.55103971377
9200	24857.904933875823
9300	24402.37641068952
9400	24777.573324880243
9500	23773.212512577968
9600	24299.508741761638
9700	24488.013902865197
9800	24675.6026033271
9900	25243.30614788555
10000	25090.086083785438
10100	24619.386989549297
10200	24952.075074079148
10300	24378.779923604023
10400	24905.403509626725
10500	24376.70298007879
10600	24429.057074298154
10700	24275.10760995122
10800	25153.25633030793
10900	25814.814585665492
11000	25031.484553397608
11100	24646.045163892566
11200	24893.23239246623
11300	25128.81111561251
11400	25075.05894068089
11500	24097.639442100586
11600	24578.708424354176
11700	26551.6400170412
11800	24851.702982802904
11900	25233.11963023303
12000	25767.04236362224
12100	25496.182238972146
12200	25948.282130360192
12300	25728.85097957132
12400	24867.10418600106
12500	25995.726354322727
12600	24959.797089014985
12700	25417.83191194077
12800	26197.333611499198
12900	25433.85982906816
13000	24969.47251218635
13100	27673.758156459535
13200	25673.71748691003
13300	25672.11875412723
13400	26195.590540787667
13500	24525.683217294896
13600	25333.61158111942
13700	25138.74746511165
13800	26066.712659577814
13900	25387.687042782258
14000	25982.24061107404
14100	25070.182424543415
14200	25423.995200112997
14300	25987.416579982535
14400	26813.803076407217
14500	25901.17103299849
14600	26193.847188350337
14700	25685.274871052206
14800	26224.784420469656
14900	26326.547026272227
15000	24720.679087709537
15100	26661.84494581249
15200	26026.308978788395
15300	25275.659618088324
15400	24817.541713439085
15500	26811.314509397685
15600	26019.549506191725
15700	26729.796106703758
15800	26093.441598331283
15900	25437.70398335197
16000	26106.74372731806
16100	25622.358137949297
16200	26387.772619505675
16300	26668.28214409046
16400	25540.987474076963
16500	26443.98258677264
16600	26377.43258025299
16700	25956.530881346887
16800	27367.824217026922
16900	26372.10917637813
17000	26556.815098947493
17100	26909.09293464395
17200	26342.795679987277
17300	25786.80227632366
17400	26026.522828556157
17500	25333.213421414028
17600	26854.147196927264
17700	26001.754641001076
17800	26229.010208380692
17900	26663.749081732556
18000	25927.168904489703
18100	27614.318660678655
18200	26710.077233479664
18300	26154.58582698105
18400	24784.883338163494
18500	27245.911045361212
18600	26120.658333796167
18700	25934.186848922625
18800	26249.884010350343
18900	26187.79604708556
19000	26783.24668255182
19100	27275.57771551706
19200	26253.945228354754
19300	26929.30527370592
19400	26701.07864611515
19500	26308.82602304566
19600	27216.39683294517
19700	27157.612417601867
19800	27092.40693679314
19900	27599.25850951136
20000	26901.6527359788
20100	26424.852774235926
20200	26203.89366769458
20300	26271.948777145113
20400	27835.274246367877
20500	27734.450876435585
20600	27560.383243342563
20700	27441.07582598515
20800	27417.731247462812
20900	28455.032425508653
21000	27831.811067806582
21100	27707.728652183967
21200	27470.808598794523
21300	29028.34671810637
21400	28774.78912657844
21500	27357.515514612147
21600	27152.19808874331
21700	27130.443345556516
21800	26637.71192078459
21900	27524.42536565279
22000	27952.791893654998
22100	27641.350801203505
22200	28741.42497067254
22300	28695.966324592366
22400	28023.736330601634
22500	28411.782612833744
22600	28120.38769008398
22700	28545.411519935715
22800	29317.826928780458
22900	28370.21427107157
23000	28290.853117988245
23100	28667.42604929722
23200	27717.874100959576
23300	28978.482225925654
23400	29336.772387284833
23500	29573.644527349035
23600	27904.64505232378
23700	27718.707643737842
23800	29081.76039790874
23900	28357.985444687714
24000	27831.098170189205
24100	28687.8910497811
24200	29211.55252516815
24300	29594.467408733704
24400	28860.689023091174
24500	29083.904365844915
24600	29052.295409503517
24700	28939.315574939388
24800	28882.270020140884
24900	28886.52608464811
25000	28591.685739481458
25100	28995.37066212285
25200	28158.311412498446
25300	29465.380195283662
25400	29942.853914960182
25500	29506.351435438064
25600	29593.692854064782
25700	28916.815396750226
25800	29603.141753727097
25900	30603.08884358839
26000	29265.993552941778
26100	28766.872373414953
26200	28171.075750727898
26300	28959.319513825827
26400	29887.929344921195
26500	28766.391739542614
26600	30069.958912449416
26700	29350.0576977895
26800	29960.425111597033
26900	29515.764611838946
27000	28534.304283724974
27100	30630.99592511721
27200	29894.915201083808
27300	28893.94288617394
27400	28929.641317812402
27500	29616.498830961315
27600	28873.901525991765
27700	29179.244812538298
27800	29217.587397553165
27900	30406.694910379538
28000	30367.866877102006
28100	29137.16311941683
28200	29538.291435878884
28300	29885.281071265472
28400	29789.248161710853
28500	29727.00958392731
28600	30367.36311446915
28700	29685.062675491477
28800	30338.6160825845
28900	29977.189314607243
29000	29006.86919873138
29100	30237.895754772322
29200	30128.29692785281
29300	29350.791649777802
29400	29197.08309227279
29500	29480.973292048962
29600	30062.5956644316
29700	30716.091157005663
29800	29559.47681030753
29900	30441.022089330614
30000	29805.22269121135
30100	29445.502846829153
30200	29230.469649748753
30300	30369.136381076467
30400	30536.922661164772
30500	31206.22712699402
30600	30178.662637224075
30700	30132.87188700494
30800	29568.4679496838
30900	30353.45987163695
31000	30275.115357112576
31100	30539.60272159548
31200	30813.510907984186
31300	30829.292216264887
31400	29949.781235865412
31500	30235.45576283158
31600	30476.165130869784
31700	30058.480479138656
31800	30281.792820263287
31900	30029.10229820629
32000	31415.8329447573
32100	30366.768818975946
32200	29626.82266964938
32300	31608.020599071642
32400	31320.14022126995
32500	30587.296360032895
32600	30739.24128221583
32700	30945.395362902793
32800	30495.791975103682
32900	31067.371303867105
33000	30696.151607450407
33100	30354.16013816438
33200	32263.546205284383
33300	29287.683494848206
33400	30961.232401775982
33500	30661.120368119802
33600	31712.6112579427
33700	30839.871312691117
33800	28997.66947100741
33900	31297.247633687723
34000	31402.321971138623
34100	31584.528323485745
34200	30982.312318300574
34300	31173.866281862553
34400	30990.917259937698
34500	31756.650588338354
34600	30386.215661600883
34700	30836.89671940454
34800	32277.76933283267
34900	31433.5020304294
35000	31472.39903499352
35100	31877.63323257792
35200	31649.348505294878
35300	31091.311792206092
35400	31076.219331946886
35500	31279.8597930929
35600	30929.453544069187
35700	32372.340850464654
35800	31689.655723325603
35900	31118.705977090325
36000	31060.136835722024
36100	31778.12352445769
36200	32303.688779555647
36300	31599.951445453313
36400	32016.62124098108
36500	31913.009008225934
36600	32037.580875625266
36700	32435.975055599294
36800	31832.46391049253
36900	32563.74112698794
37000	31809.34876311576
37100	32096.268286340353
37200	32778.329493544916
37300	31693.64207452909
37400	32459.444640100126
37500	32294.133316968615
37600	33033.11764027137
37700	33298.5754254673
37800	33181.68613224159
37900	32708.166162954207
38000	32839.76873810691
38100	32036.882714852552
38200	32088.0666280517
38300	33315.97658976507
38400	32542.310140282876
38500	32959.85382553285
38600	33496.59553338014
38700	32666.955352717596
38800	33262.09903971112
38900	32703.520660679933
39000	32971.50601258867
39100	33161.546827714694
39200	33330.72324954621
39300	33736.24544640355
39400	33395.08494778845
39500	32801.54805876597
39600	33097.41521659859
39700	32610.996571329568
39800	33710.91864536894
39900	33689.51924516744
40000	33014.461269836866
40100	33433.10783546105
40200	33698.061227059276
40300	33955.51358493163
40400	34018.69396236489
40500	33538.49317737114
40600	33053.95294786926
40700	33821.932136687705
40800	33258.86954976319
40900	34488.426950809306
41000	34359.923437191275
41100	34959.1748671358
41200	33077.90610689438
41300	33102.09181947971
41400	34609.12111841878
41500	34218.98169156467
41600	33569.128986898686
41700	33961.28862714481
41800	34545.18580860572
41900	34210.84713098097
42000	34600.1113882925
42100	33778.957403646076
42200	34140.868692028176
42300	34111.62536135417
42400	33098.53124215082
42500	33213.7065185321
42600	33250.953057850405
42700	34297.12052650696
42800	34925.29631220266
42900	34516.97012458941
43000	33382.747771375914
43100	33961.20500000883
43200	34432.280561826825
43300	34489.61226330054
43400	35475.76617410531
43500	34730.60491674412
43600	35014.14430372739
43700	34547.22766094802
43800	35143.13203955558
43900	33778.30808335749
44000	34508.9129223442
44100	34477.77243170703
44200	34700.51925856443
44300	34599.857346880664
44400	34647.235829679485
44500	35382.254357931495
44600	34909.408313463464
44700	35504.126141164714
44800	35017.783857162685
44900	35442.308530410206
45000	35775.57789623109
45100	34878.77097975638
45200	34778.84219441601
45300	35630.43060474874
45400	35073.94151838529
45500	35159.92836450958
45600	35194.609419604036
45700	34625.172042558006
45800	36388.079279116864
45900	35173.94146880389
46000	35116.12434587729
46100	35372.91725033522
46200	34378.604674934024
46300	34959.80281655935
46400	35542.01338698048
46500	36790.024526266316
46600	35008.778450759346
46700	36139.10800433366
46800	36002.0353082987
46900	35507.88920123492
47000	36552.31559377995
47100	36063.58510045129
47200	35749.71218503774
47300	37694.08262007766
47400	36336.99190171657
47500	36310.96185150991
47600	35186.20065837383
47700	36818.062760215726
47800	36440.5955721131
47900	35493.17583440006
48000	36254.05873138802
48100	37239.36877676985
48200	35384.54863229591
48300	36387.625933260206
48400	36787.1368528295
48500	35482.08223483701
48600	36030.67053083661
48700	36198.158954918115
48800	36684.159186692305
48900	36432.2085927314
49000	36746.30311181812
49100	37097.208973442364
49200	36537.9341535685
49300	36036.29934761271
49400	37475.431921370866
49500	37230.60552191432
49600	37134.31322111907
49700	36452.28924383636
49800	37322.70823962217
49900	37168.27564214097
50000	37105.25124061414
50100	37375.19714919236
50200	37077.755397109504
50300	36556.239892039244
50400	35856.27345881355
50500	37868.54122801369
50600	37060.15205568915
50700	38260.962073269795
50800	37314.69544331852
50900	36889.98349501482
51000	37431.829946295074
51100	36965.4057563164
51200	37956.5006142358
51300	37756.394951250426
51400	37123.52704700821
51500	37083.97785667029
51600	36778.669612693
51700	38166.16157758207
51800	38187.3959843399
51900	37314.134458554916
52000	36889.057501919364
52100	37829.24702361929
52200	37515.54477302399
52300	38117.364657332895
52400	37626.38648482852
52500	37362.73604663507
52600	37951.1786147924
52700	37145.889447516325
52800	37403.84803582867
52900	37219.38203804708
53000	36721.38778932028
53100	38077.52051497786
53200	37538.643313939654
53300	37937.62010004114
53400	38164.12913513291
53500	38432.22299102741
53600	37579.43527268981
53700	38343.4371036773
53800	38006.22233375196
53900	39241.17080522425
54000	39234.254246503704
54100	38878.022940872776
54200	37919.7631817037
54300	38394.90180885149
54400	38929.19816212893
54500	38745.19497594565
54600	39236.575262639424
54700	39853.66544471604
54800	38714.464274670776
54900	38896.137567678874
55000	38542.155604681975
55100	38982.73148196803
55200	39695.48270532404
55300	38398.920561053594
55400	39554.87846643954
55500	38414.836418514315
55600	39069.1697749661
55700	38307.05423992389
55800	38981.51100466028
55900	38860.28233953489
56000	37864.81153407719
56100	39025.94552412637
56200	39119.47417392594
56300	39523.70812669614
56400	38339.060009952955
56500	39511.58218783209
56600	39343.30145232496
56700	40448.668163204195
56800	39227.988586433945
56900	39258.78677860819
57000	39259.00789303989
57100	39656.79839544007
57200	39392.922818635816
57300	39854.600541886735
57400	40070.63519876778
57500	40038.33365085972
57600	40607.08928045945
57700	40171.604902176965
57800	38729.381378228805
57900	39046.51125811964
58000	39965.7502185599
58100	39706.342556416996
58200	39667.29858941404
58300	39270.776488086165
58400	39504.06617264025
58500	39052.42780054922
58600	39867.413854833045
58700	38971.591180106
58800	41357.77701467791
58900	40563.49169345157
59000	39479.856251791694
59100	40641.59380606774
59200	39556.50380589839
59300	39938.816162626434
59400	39930.66975231386
59500	40364.672805003145
59600	40416.31759339003
59700	40533.60398792593
59800	39687.06952180753
59900	39666.06081586947
60000	40682.04655732049
60100	40542.09819348474
60200	41547.39859447222
60300	41857.14290691036
60400	40664.36256770892
60500	40288.785811482056
60600	40432.51477134277
60700	40557.104823756425
60800	40223.10114698261
60900	40497.52286408755
61000	41142.810693852865
61100	41351.6550652248
61200	41809.017491324856
61300	41872.58289009765
61400	41067.771062324515
61500	41662.48964065569
61600	42049.75364530811
61700	41325.43808514151
61800	41304.08080407563
61900	41990.84985032351
62000	41883.035967936645
62100	41115.226717028716
62200	42519.39235892967
62300	41129.077389096296
62400	42046.76903513418
62500	41152.014495011594
62600	40939.606479053655
62700	41541.40705693474
62800	41539.74583094411
62900	42224.92259416319
63000	41532.23609164302
63100	41352.73043335097
63200	41517.205658668005
63300	42189.87461452175
63400	41816.490675536195
63500	41447.57353908143
63600	42116.116721935774
63700	41288.65568729804
